,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
47,30.0%,0.45,0.10983866666666661,0.09095652828950074
48,30.0%,0.5,0.16543133333333326,0.14250300509567349
49,30.0%,0.55,0.20581533333333332,0.13562330318694427
50,30.0%,0.6,0.2363566666666666,0.13117966797803593
51,30.0%,0.65,0.2535846666666667,0.13025875989127042
52,40.0%,0.05,0.0044966666666666376,0.005862317573946963
53,40.0%,0.1,0.0085093333333333,0.009988304211881148
54,40.0%,0.15,0.014681999999999959,0.017490200784723207
55,40.0%,0.2,0.022175999999999963,0.02239882751006185
56,40.0%,0.25,0.031743333333333276,0.03201847498698478
57,40.0%,0.3,0.047239333333333286,0.044055014259806666
58,40.0%,0.35,0.07158533333333329,0.06143149006303407
59,40.0%,0.4,0.10393266666666663,0.08783443584584547
60,40.0%,0.45,0.13117599999999996,0.10957771945675034
61,40.0%,0.5,0.192636,0.15933819769797067
62,40.0%,0.55,0.2398859999999999,0.15971041706621109
63,40.0%,0.6,0.286304,0.16455809805323873
64,40.0%,0.65,0.3241533333333333,0.16636836893906604
65,50.0%,0.05,0.005094666666666633,0.006631699213014814
66,50.0%,0.1,0.009552666666666626,0.011091611781051738
67,50.0%,0.15,0.017385333333333294,0.01994598540510747
68,50.0%,0.2,0.02562866666666663,0.026168830623412815
69,50.0%,0.25,0.035972666666666625,0.03461536280084974
70,50.0%,0.3,0.05383533333333329,0.04971624602698458
71,50.0%,0.35,0.07858466666666662,0.06731013938465812
72,50.0%,0.4,0.11363,0.09472797277205587
73,50.0%,0.45,0.14314399999999994,0.117474281337827
74,50.0%,0.5,0.21148999999999996,0.17511244469937198
75,50.0%,0.55,0.26361199999999996,0.17737934699659824
76,50.0%,0.6,0.31260333333333334,0.180732969034974
77,50.0%,0.65,0.3594586666666667,0.18694632549386994
78,60.0%,0.05,0.006089999999999962,0.006557978387957119
79,60.0%,0.1,0.010798666666666627,0.012863464659356177
80,60.0%,0.15,0.018981333333333284,0.022043247262781923
81,60.0%,0.2,0.028113999999999962,0.028086446204578546
82,60.0%,0.25,0.03946333333333328,0.037583788124055766
83,60.0%,0.3,0.0592573333333333,0.05354528077722915
84,60.0%,0.35,0.08580333333333329,0.07355005182216058
85,60.0%,0.4,0.12185933333333329,0.10127679600455647
86,60.0%,0.45,0.15125066666666664,0.12187255514486905
87,60.0%,0.5,0.2217613333333333,0.1801287346460585
88,60.0%,0.55,0.2772359999999999,0.1867797242923102
89,60.0%,0.6,0.33352199999999993,0.1966688218450145
90,60.0%,0.65,0.38278266666666666,0.20329014928965522
91,70.0%,0.05,0.006770666666666629,0.0076904503378027326
92,70.0%,0.1,0.012165333333333287,0.01357916379919833
93,70.0%,0.15,0.020857333333333283,0.02370910777525973
94,70.0%,0.2,0.0307153333333333,0.030534855727801846
95,70.0%,0.25,0.04260799999999995,0.04004345880775773
96,70.0%,0.3,0.06391199999999995,0.056153153371445205
97,70.0%,0.35,0.09110599999999996,0.07650154381036456
98,70.0%,0.4,0.12763666666666662,0.1050115330301926
99,70.0%,0.45,0.15876266666666664,0.1271836333159467
100,70.0%,0.5,0.23043333333333332,0.18576319545989736
101,70.0%,0.55,0.28573933333333335,0.19165417852789846
102,70.0%,0.6,0.34166799999999997,0.20011373823621528
103,70.0%,0.65,0.39474266666666663,0.20859022747854844
104,80.0%,0.05,0.007455333333333296,0.007999727651963705
105,80.0%,0.1,0.013210666666666628,0.014036611508473863
106,80.0%,0.15,0.022183333333333284,0.024263230436824056
107,80.0%,0.2,0.032993999999999954,0.03217127867853686
108,80.0%,0.25,0.04512666666666662,0.04165673832496635
109,80.0%,0.3,0.06668266666666663,0.05758364414812663
110,80.0%,0.35,0.09456266666666661,0.07840105596695608
111,80.0%,0.4,0.13180066666666665,0.1068991229279925
112,80.0%,0.45,0.16343666666666665,0.12967500906262355
113,80.0%,0.5,0.23655599999999996,0.1886149023982766
114,80.0%,0.55,0.2925773333333333,0.19589680311161597
115,80.0%,0.6,0.3511593333333334,0.20599590146983843
116,80.0%,0.65,0.40449133333333337,0.21392299245968932
117,90.0%,0.05,0.00831533333333329,0.008130444374514182
118,90.0%,0.1,0.014437999999999956,0.014707691773879277
119,90.0%,0.15,0.023613999999999937,0.02511227681792047
120,90.0%,0.2,0.034665999999999954,0.03259175345526213
121,90.0%,0.25,0.04792799999999995,0.0426073994266963
122,90.0%,0.3,0.06974599999999995,0.058741149417587415
123,90.0%,0.35,0.09811266666666663,0.07946538167943708
124,90.0%,0.4,0.13591666666666663,0.10786282079391253
125,90.0%,0.45,0.16788466666666665,0.13093907171492397
126,90.0%,0.5,0.24127466666666664,0.19001731471323274
127,90.0%,0.55,0.2977973333333333,0.19689712946144391
128,90.0%,0.6,0.35657333333333335,0.20785145562700297
129,90.0%,0.65,0.4106319999999999,0.21630110113376183
