,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
66,50.0%,0.1,0.12299741448888887,0.17765736454036013
67,50.0%,0.15,0.1582703353472222,0.1775505004320472
68,50.0%,0.2,0.19182897068055557,0.16924852337724539
69,50.0%,0.25,0.24502820093888888,0.14486132455540374
70,50.0%,0.3,0.3402298266027778,0.13788345012250983
71,50.0%,0.35,0.4377579941,0.14914192936502085
72,50.0%,0.4,0.5583130627861111,0.16069172882774557
73,50.0%,0.45,0.6673436972638889,0.1876060355053756
74,50.0%,0.5,0.7304714666222222,0.20865296701657027
75,50.0%,0.55,0.7513743191777779,0.21520710625636302
76,50.0%,0.6,0.7532038153416667,0.21532725644123646
77,50.0%,0.65,0.7507504506638889,0.21192571308446595
78,60.0%,0.05,0.12564910628055556,0.1658799776120267
79,60.0%,0.1,0.14712602677222225,0.19609862736563796
80,60.0%,0.15,0.1855620991888889,0.21802787488310654
81,60.0%,0.2,0.21889129513333336,0.20140526838687253
82,60.0%,0.25,0.2821480323638889,0.1719231452486069
83,60.0%,0.3,0.38120721549444436,0.15234921557377293
84,60.0%,0.35,0.4790850992861111,0.14885053400369797
85,60.0%,0.4,0.6010993517194444,0.1449375059013618
86,60.0%,0.45,0.7057642528944444,0.15619149311549316
87,60.0%,0.5,0.7649849995527777,0.1762335964153728
88,60.0%,0.55,0.7886230346527778,0.18165301737287307
89,60.0%,0.6,0.792467681025,0.1836520291102454
90,60.0%,0.65,0.7950435017472223,0.17861460578247113
91,70.0%,0.05,0.1420607863361111,0.1841773979908855
92,70.0%,0.1,0.18016460634166667,0.23028304889840542
93,70.0%,0.15,0.2188005042833333,0.24053603922746083
94,70.0%,0.2,0.25782891343055553,0.2289802028436566
95,70.0%,0.25,0.3181504964194444,0.20177105820536761
96,70.0%,0.3,0.42377495375,0.17242712875548108
97,70.0%,0.35,0.5187591611555555,0.15744221626521518
98,70.0%,0.4,0.6402936859277778,0.13093283557513227
99,70.0%,0.45,0.7392787167416667,0.12926904113557053
100,70.0%,0.5,0.8003333160611112,0.14007781745700154
101,70.0%,0.55,0.8213970307694445,0.14556621798663547
102,70.0%,0.6,0.8283264364861112,0.1447422768902379
103,70.0%,0.65,0.8305208368138889,0.14259515885012422
104,80.0%,0.05,0.1511677242861111,0.1906891196866803
105,80.0%,0.1,0.21159259097222222,0.25141091064984783
106,80.0%,0.15,0.24017789185555555,0.27199798921517176
107,80.0%,0.2,0.29398487528055556,0.2626002484221698
108,80.0%,0.25,0.3512130914805555,0.23627114542735955
109,80.0%,0.3,0.46550397409444444,0.19933550393136715
110,80.0%,0.35,0.5524195754972223,0.17062490451109671
111,80.0%,0.4,0.675672176675,0.12548924482219398
112,80.0%,0.45,0.7772697070361112,0.10291195108411173
113,80.0%,0.5,0.8306233809555553,0.10848881821610723
114,80.0%,0.55,0.8540148221805557,0.10911104614171672
115,80.0%,0.6,0.8599929594472223,0.10926434028934745
116,80.0%,0.65,0.8643175609888889,0.10544027186357216
117,90.0%,0.05,0.1804826171916667,0.22165456737324898
118,90.0%,0.1,0.23099718234722222,0.28129244933575354
119,90.0%,0.15,0.2699188752666667,0.30688002084282573
120,90.0%,0.2,0.3189391360972222,0.2955059617198238
121,90.0%,0.25,0.3898661499138889,0.2665922343561807
122,90.0%,0.3,0.5030646989166666,0.22216230490355687
123,90.0%,0.35,0.5878057452527778,0.19440943530319632
124,90.0%,0.4,0.7098090331527778,0.13514011176808066
125,90.0%,0.45,0.8087881416805556,0.09162849084085677
126,90.0%,0.5,0.8627109436305554,0.08036236559447081
127,90.0%,0.55,0.8859285940388888,0.0752506890079273
128,90.0%,0.6,0.8920074251111111,0.07307013445646607
129,90.0%,0.65,0.8967083452388889,0.06982025110941541
