,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
43,30.0%,0.25,0.025613888888888887,0.02857981691150489
44,30.0%,0.3,0.041558333333333336,0.03527578473766301
45,30.0%,0.35,0.05910277777777778,0.03752017831198692
46,30.0%,0.4,0.10932222222222222,0.06071552513371236
47,30.0%,0.45,0.19942500000000002,0.09561779730552199
48,30.0%,0.5,0.3494027777777778,0.17123183552260582
49,30.0%,0.55,0.4644361111111111,0.23121943014417995
50,30.0%,0.6,0.48195277777777773,0.2412688729882958
51,30.0%,0.65,0.42447222222222225,0.1935706396667867
52,40.0%,0.05,0.006511111111111112,0.01269482770944837
53,40.0%,0.1,0.011958333333333333,0.017725418460787543
54,40.0%,0.15,0.020358333333333332,0.027664462637763485
55,40.0%,0.2,0.026680555555555558,0.0323545928203512
56,40.0%,0.25,0.034866666666666664,0.037469601420894096
57,40.0%,0.3,0.05237222222222222,0.045676411880644835
58,40.0%,0.35,0.07329166666666667,0.04824578365690129
59,40.0%,0.4,0.12761666666666666,0.06594906238972291
60,40.0%,0.45,0.2225138888888889,0.09468369760458638
61,40.0%,0.5,0.38322500000000004,0.1653495897740303
62,40.0%,0.55,0.5222583333333334,0.23286571844584178
63,40.0%,0.6,0.5695305555555555,0.25940883974715717
64,40.0%,0.65,0.5781999999999999,0.2545509651756722
65,50.0%,0.05,0.008733333333333334,0.01380771251116876
66,50.0%,0.1,0.015774999999999997,0.02159379198676527
67,50.0%,0.15,0.024822222222222218,0.032141340981077626
68,50.0%,0.2,0.033166666666666664,0.040576692405540106
69,50.0%,0.25,0.04326111111111112,0.047153499577856084
70,50.0%,0.3,0.06220555555555556,0.05543856015749993
71,50.0%,0.35,0.08586388888888889,0.06017417455091973
72,50.0%,0.4,0.142425,0.07233075481371673
73,50.0%,0.45,0.24158333333333332,0.09069163984405872
74,50.0%,0.5,0.4055472222222223,0.1523297734549679
75,50.0%,0.55,0.5526888888888889,0.22009296057986982
76,50.0%,0.6,0.6107583333333333,0.2486049319434945
77,50.0%,0.65,0.6382916666666667,0.25030010052002427
78,60.0%,0.05,0.010672222222222224,0.015304460927974028
79,60.0%,0.1,0.018761111111111114,0.025334940451393256
80,60.0%,0.15,0.029999999999999995,0.039010390730652995
81,60.0%,0.2,0.03881388888888889,0.047554646195787864
82,60.0%,0.25,0.050988888888888896,0.0570330978420283
83,60.0%,0.3,0.07255277777777779,0.06728157680391174
84,60.0%,0.35,0.09705555555555558,0.07133004010135151
85,60.0%,0.4,0.15786666666666666,0.08193420146967649
86,60.0%,0.45,0.25831944444444443,0.08799554090831084
87,60.0%,0.5,0.4232944444444444,0.13867696365150686
88,60.0%,0.55,0.5754722222222223,0.20289706573027627
89,60.0%,0.6,0.6369944444444444,0.23164741234455882
90,60.0%,0.65,0.6703083333333333,0.23090442725608878
91,70.0%,0.05,0.012155555555555557,0.017177695657530856
92,70.0%,0.1,0.022772222222222225,0.030270062166630078
93,70.0%,0.15,0.03516944444444445,0.04488749985401879
94,70.0%,0.2,0.04580555555555556,0.055934511769862076
95,70.0%,0.25,0.05926111111111111,0.06704767886438595
96,70.0%,0.3,0.08278055555555557,0.07882379884472997
97,70.0%,0.35,0.10829444444444446,0.083398509517033
98,70.0%,0.4,0.17157499999999998,0.09135440148842962
99,70.0%,0.45,0.2729083333333333,0.08808080575595562
100,70.0%,0.5,0.4414222222222222,0.12449335566638016
101,70.0%,0.55,0.5945333333333332,0.18312133974400113
102,70.0%,0.6,0.6596583333333335,0.20936705898964178
103,70.0%,0.65,0.694761111111111,0.20847542793929527
104,80.0%,0.05,0.013044444444444445,0.0181356148545588
105,80.0%,0.1,0.026166666666666668,0.034107563754869376
106,80.0%,0.15,0.03970555555555555,0.05129935055513394
107,80.0%,0.2,0.05296111111111111,0.06501852008615505
108,80.0%,0.25,0.06720555555555555,0.07771221800327506
109,80.0%,0.3,0.09344166666666667,0.09157566509354931
110,80.0%,0.35,0.11925555555555556,0.09668229694657646
111,80.0%,0.4,0.18513333333333332,0.10355327239079036
112,80.0%,0.45,0.2895222222222222,0.09187471520009252
113,80.0%,0.5,0.45668611111111107,0.11135580669187738
114,80.0%,0.55,0.6134861111111111,0.16298185836937915
115,80.0%,0.6,0.6791638888888889,0.1877261928539586
116,80.0%,0.65,0.7175527777777778,0.18447977746381342
117,90.0%,0.05,0.015433333333333335,0.02101176219211105
118,90.0%,0.1,0.02903611111111111,0.03799474126329195
119,90.0%,0.15,0.044886111111111106,0.05822184856711936
120,90.0%,0.2,0.059227777777777775,0.07370106983085332
121,90.0%,0.25,0.07556944444444443,0.08801867780843188
122,90.0%,0.3,0.1029611111111111,0.10301882695062532
123,90.0%,0.35,0.13114722222222222,0.11171545626165576
124,90.0%,0.4,0.19831666666666664,0.11688443808435435
125,90.0%,0.45,0.30358333333333337,0.09911285455842074
126,90.0%,0.5,0.4728805555555555,0.09966366648642722
127,90.0%,0.55,0.6316916666666667,0.14219131424526837
128,90.0%,0.6,0.6986888888888889,0.16481422947766466
129,90.0%,0.65,0.7390083333333334,0.15973725793882954
