,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
49,30.0%,0.55,0.402481343742867,0.17508919911968876
50,30.0%,0.6,0.42190105715535975,0.16462747173957457
51,30.0%,0.65,0.42552341415142714,0.1618783220256897
52,40.0%,0.05,0.030809549181925952,0.04440818344636788
53,40.0%,0.1,0.0551534007930006,0.06609425133139415
54,40.0%,0.15,0.08220847599427968,0.08941289036758814
55,40.0%,0.2,0.1127392129258862,0.10048979193419055
56,40.0%,0.25,0.1440964957663357,0.12175974878264269
57,40.0%,0.3,0.18698846808359795,0.14362226588364074
58,40.0%,0.35,0.24591866290200015,0.16385764508313105
59,40.0%,0.4,0.3020242301645881,0.18832088997842727
60,40.0%,0.45,0.34508602602136346,0.19477609453791492
61,40.0%,0.5,0.40812189992737563,0.2110908273833374
62,40.0%,0.55,0.4665793849336073,0.1973806093733533
63,40.0%,0.6,0.5039038648145764,0.18758360912822256
64,40.0%,0.65,0.527621094416621,0.17361800977834962
65,50.0%,0.05,0.034707068516553564,0.04932300497423329
66,50.0%,0.1,0.061891356528110286,0.07357932741374854
67,50.0%,0.15,0.09797434835788837,0.10139209687096919
68,50.0%,0.2,0.13054581670095805,0.1158322027931078
69,50.0%,0.25,0.16440635479599147,0.13006773658796797
70,50.0%,0.3,0.21362707947597367,0.16027276257607237
71,50.0%,0.35,0.2713896781185114,0.17820875699589553
72,50.0%,0.4,0.3319686183585678,0.20231939317569164
73,50.0%,0.45,0.3778333539375538,0.20961597206894164
74,50.0%,0.5,0.4482734523712155,0.22770475521556907
75,50.0%,0.55,0.511458374207794,0.21321945557013122
76,50.0%,0.6,0.5493258317561918,0.2009147230717153
77,50.0%,0.65,0.5818503315140717,0.18605406728508042
78,60.0%,0.05,0.042059430282035175,0.050743798361216806
79,60.0%,0.1,0.07019742599905236,0.08524945190929113
80,60.0%,0.15,0.10650911074878455,0.11122115961091364
81,60.0%,0.2,0.14386384628882426,0.12295469523139099
82,60.0%,0.25,0.1816076543937703,0.13959906755752816
83,60.0%,0.3,0.23634128619049302,0.17061582794225172
84,60.0%,0.35,0.2964081933241181,0.1917840280741056
85,60.0%,0.4,0.3573709927197218,0.2129768101822296
86,60.0%,0.45,0.40202627724831524,0.21705117039483102
87,60.0%,0.5,0.472782268736694,0.23394631767514185
88,60.0%,0.55,0.5387494605586695,0.21952291387467632
89,60.0%,0.6,0.5840632255936826,0.21188906913839642
90,60.0%,0.65,0.6172450441385464,0.19592231279575556
91,70.0%,0.05,0.047110081136786296,0.05996070742189935
92,70.0%,0.1,0.07937532735650102,0.09047606579993636
93,70.0%,0.15,0.11766949219462902,0.11956837351609671
94,70.0%,0.2,0.15774187269271242,0.13379671333451246
95,70.0%,0.25,0.19723372331729147,0.14870436491534195
96,70.0%,0.3,0.2576020479516593,0.17773342550070217
97,70.0%,0.35,0.31734512183937613,0.19711591115671034
98,70.0%,0.4,0.3758942924031661,0.22081324207685113
99,70.0%,0.45,0.4232387363603928,0.22427870614312784
100,70.0%,0.5,0.49370909832302373,0.23836315888719675
101,70.0%,0.55,0.5570564034788983,0.22204228955296876
102,70.0%,0.6,0.5999594915787145,0.21395627433083603
103,70.0%,0.65,0.638135795360065,0.19760956809690655
104,80.0%,0.05,0.05108005365793676,0.06255998051125944
105,80.0%,0.1,0.08561620802031843,0.09313205471513608
106,80.0%,0.15,0.12629975980140243,0.12231832370073978
107,80.0%,0.2,0.16993308543817556,0.14032284790739402
108,80.0%,0.25,0.20992391030387025,0.153964401016665
109,80.0%,0.3,0.270142318415596,0.18080146760163052
110,80.0%,0.35,0.3311692568578336,0.20068693090179757
111,80.0%,0.4,0.39099943947272664,0.22164408554580411
112,80.0%,0.45,0.4377085399077753,0.22733540815411124
113,80.0%,0.5,0.5096833288203627,0.23875883326706898
114,80.0%,0.55,0.5714140098379286,0.22551858991660326
115,80.0%,0.6,0.6178862898039569,0.2157059835402891
116,80.0%,0.65,0.6548359330949175,0.1987988701848016
117,90.0%,0.05,0.0578712049328479,0.0639350092077282
118,90.0%,0.1,0.094172108078673,0.0984261178025022
119,90.0%,0.15,0.1346462656240186,0.12655704555587252
120,90.0%,0.2,0.1798438804269094,0.1416296358047304
121,90.0%,0.25,0.2249011299613709,0.15698045440118805
122,90.0%,0.3,0.2846747598038088,0.18303867379131566
123,90.0%,0.35,0.346288890098606,0.20140510325380587
124,90.0%,0.4,0.4063878179761468,0.22084933406923057
125,90.0%,0.45,0.4528762009206561,0.2268666448049392
126,90.0%,0.5,0.5231998712835995,0.23690930998985688
127,90.0%,0.55,0.5852550979475534,0.222790493121316
128,90.0%,0.6,0.6291545943634429,0.2153083442713491
129,90.0%,0.65,0.6661372695427236,0.19875083537979138
