,noise_proportion_corrected(beta),noise_ratio(alpha),mean,std
101,70.0%,0.55,0.2620722222222222,0.11807119260469985
102,70.0%,0.6,0.32582777777777777,0.13118655044431252
103,70.0%,0.65,0.40315555555555554,0.12391034373043984
104,80.0%,0.05,0.013200000000000002,0.019837372515396457
105,80.0%,0.1,0.027372222222222225,0.03331991349712181
106,80.0%,0.15,0.03610555555555556,0.044182302016595315
107,80.0%,0.2,0.049,0.05421093840450125
108,80.0%,0.25,0.06621666666666665,0.07258853756976272
109,80.0%,0.3,0.08025555555555555,0.08238697550483302
110,80.0%,0.35,0.09784444444444446,0.09258972703847158
111,80.0%,0.4,0.12876111111111113,0.09524749628894903
112,80.0%,0.45,0.17042222222222222,0.10634298736305266
113,80.0%,0.5,0.22087777777777778,0.1112135639389144
114,80.0%,0.55,0.2781944444444444,0.12453957212456125
115,80.0%,0.6,0.3428055555555556,0.13153597137871384
116,80.0%,0.65,0.42486666666666667,0.1195134048238283
117,90.0%,0.05,0.013400000000000002,0.01915170071950369
118,90.0%,0.1,0.03066666666666667,0.03693320724974761
119,90.0%,0.15,0.0423,0.05025769548095276
120,90.0%,0.2,0.05785,0.06289010613314469
121,90.0%,0.25,0.07463888888888887,0.08335163188610889
122,90.0%,0.3,0.09026111111111111,0.09445940890846094
123,90.0%,0.35,0.1108111111111111,0.10771974086389768
124,90.0%,0.4,0.14249444444444445,0.11026768997278885
125,90.0%,0.45,0.18500555555555556,0.11880120999753707
126,90.0%,0.5,0.23653888888888888,0.12307488877079097
127,90.0%,0.55,0.2932055555555556,0.1314256506705684
128,90.0%,0.6,0.3614166666666667,0.13673293188885166
129,90.0%,0.65,0.4446499999999999,0.11911047770400557
