,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
154,30.0%,0.65,mnb,0.6316712989916666,0.08688920267882588
155,30.0%,0.65,sgd,0.5781137121000001,0.10796746217581124
156,40.0%,0.05,lstm,0.16312144444166668,0.1681882035532032
157,40.0%,0.05,mnb,0.018774556624999997,0.06178976124237569
158,40.0%,0.05,sgd,0.043103406775000006,0.1009364822447848
159,40.0%,0.1,lstm,0.2369153046916667,0.10537177349363822
160,40.0%,0.1,mnb,0.012056673566666665,0.05586908119485827
161,40.0%,0.1,sgd,0.01984287885,0.14580402052256852
162,40.0%,0.15,lstm,0.29203999675,0.10442361048008396
163,40.0%,0.15,mnb,0.028161337691666666,0.08999023715632715
164,40.0%,0.15,sgd,0.05115106440833334,0.15342845330186625
165,40.0%,0.2,lstm,0.29555888450833334,0.07907716525623207
166,40.0%,0.2,mnb,0.059889525358333334,0.0887049972948088
167,40.0%,0.2,sgd,0.11874643800000001,0.12192866310045637
168,40.0%,0.25,lstm,0.30646365360833333,0.07208357372445967
169,40.0%,0.25,mnb,0.13199035282500002,0.0921941477472223
170,40.0%,0.25,sgd,0.18404386405833334,0.1287161915620181
171,40.0%,0.3,lstm,0.3368647683083334,0.06946624150282331
172,40.0%,0.3,mnb,0.2518445583333333,0.10261538769611817
173,40.0%,0.3,sgd,0.2928511505,0.17176108401892615
174,40.0%,0.35,lstm,0.34231680253333335,0.06396606891658957
175,40.0%,0.35,mnb,0.410786730225,0.14459478658693947
176,40.0%,0.35,sgd,0.41875512525833336,0.18825080490391854
177,40.0%,0.4,lstm,0.35015993699166664,0.055286706560596456
178,40.0%,0.4,mnb,0.624971527,0.14200713475574192
179,40.0%,0.4,sgd,0.5633533633666665,0.16666398063799845
180,40.0%,0.45,lstm,0.35131578146666664,0.05159398652263256
181,40.0%,0.45,mnb,0.77983973145,0.1048423204718064
182,40.0%,0.45,sgd,0.7300080244333332,0.12062443921245113
183,40.0%,0.5,lstm,0.36207206675833337,0.051231345232847524
184,40.0%,0.5,mnb,0.8612637269416666,0.07656471967400298
185,40.0%,0.5,sgd,0.8397183165166666,0.07816550728994982
186,40.0%,0.55,lstm,0.3686922518416667,0.043251991233064474
187,40.0%,0.55,mnb,0.882471956525,0.0581414390790066
188,40.0%,0.55,sgd,0.8611755329333332,0.06016598769496206
189,40.0%,0.6,lstm,0.3643798226,0.03837968733875182
190,40.0%,0.6,mnb,0.8781488877583334,0.05329996623222636
191,40.0%,0.6,sgd,0.8450021988333333,0.07139258264154702
192,40.0%,0.65,lstm,0.36640546196666673,0.03883443658153726
