,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
183,20.0%,0.55,rf,0.45709699053338115,0.18098926434393986
184,20.0%,0.55,svc,0.47084633113105595,0.16590966619889863
185,20.0%,0.6,cnn,0.34134633866034586,0.13996228375536593
186,20.0%,0.6,dt,0.337466205040925,0.2487587209429006
187,20.0%,0.6,lr,0.37728743802021614,0.0998431878538875
188,20.0%,0.6,rf,0.3668414270195241,0.13842860639791535
189,20.0%,0.6,svc,0.38647325095668295,0.12566039138932728
190,20.0%,0.65,cnn,0.26824331843713944,0.08076486137586501
191,20.0%,0.65,dt,0.18844233876094774,0.09932548179698857
192,20.0%,0.65,lr,0.2750298342551817,0.05638108409602955
193,20.0%,0.65,rf,0.27425283440298,0.08137026386626597
194,20.0%,0.65,svc,0.27953189868667955,0.07174711012135968
195,30.0%,0.05,cnn,0.07970251824749394,0.8709031939628795
196,30.0%,0.05,dt,0.18624009639262,0.23885943596911363
197,30.0%,0.05,lr,0.07491718869564426,0.39163181182345796
198,30.0%,0.05,rf,0.16130988490589682,0.334356041221478
199,30.0%,0.05,svc,0.018346306319408905,0.274586558822
200,30.0%,0.1,cnn,0.10018230726005675,0.7167623186889018
201,30.0%,0.1,dt,0.14769901538053645,0.2447160381613168
202,30.0%,0.1,lr,0.1851991376386533,0.24140297951105935
203,30.0%,0.1,rf,0.2145534046742784,0.3933828630981366
204,30.0%,0.1,svc,-0.012531008161595306,0.3674452653756164
205,30.0%,0.15,cnn,0.2116564518972596,0.6310002054908076
206,30.0%,0.15,dt,0.10379688133891951,0.25631143817132884
207,30.0%,0.15,lr,0.22170224767890856,0.2557842766334593
208,30.0%,0.15,rf,0.3172171262818887,0.4055098736710227
209,30.0%,0.15,svc,0.050777455075094145,0.36791641341912473
210,30.0%,0.2,cnn,0.3088898739096092,0.4643327873521869
211,30.0%,0.2,dt,0.1746752722800462,0.22466141406019408
212,30.0%,0.2,lr,0.29722526319928366,0.2616173266115406
213,30.0%,0.2,rf,0.3760698651922107,0.41246230308484416
214,30.0%,0.2,svc,0.20119791533347478,0.24998773237177202
215,30.0%,0.25,cnn,0.42849383388303525,0.3603005111064135
216,30.0%,0.25,dt,0.24444716539923306,0.2674420017985153
217,30.0%,0.25,lr,0.3610339855315724,0.2817741744087195
218,30.0%,0.25,rf,0.4348852213604303,0.40537619992824986
219,30.0%,0.25,svc,0.26016383891759964,0.2419732423032643
220,30.0%,0.3,cnn,0.4543943484472788,0.2960943382259313
221,30.0%,0.3,dt,0.35223130360460286,0.2646651950806823
222,30.0%,0.3,lr,0.41475052040176213,0.28791762230128315
223,30.0%,0.3,rf,0.5394922822503168,0.3754675332802429
224,30.0%,0.3,svc,0.363095133525983,0.27556862366397195
225,30.0%,0.35,cnn,0.5260450238941432,0.22779072632267078
226,30.0%,0.35,dt,0.39827524039132883,0.24882006351850758
227,30.0%,0.35,lr,0.4961097058916873,0.2633201839177284
228,30.0%,0.35,rf,0.5965479360848424,0.3020643582453076
229,30.0%,0.35,svc,0.47992719559341224,0.3162151586184356
230,30.0%,0.4,cnn,0.5794696371515557,0.2019663398367326
231,30.0%,0.4,dt,0.4366059503819034,0.2830202092777499
232,30.0%,0.4,lr,0.5551218838796924,0.23814663878558232
233,30.0%,0.4,rf,0.6595439330304742,0.25608889558250997
234,30.0%,0.4,svc,0.6151310609222556,0.3080850818975878
235,30.0%,0.45,cnn,0.6105618869222901,0.18025183228440117
236,30.0%,0.45,dt,0.4115625489420321,0.16445829108034632
237,30.0%,0.45,lr,0.602895891728544,0.19114449685383042
238,30.0%,0.45,rf,0.6786822049740677,0.1937825507878519
239,30.0%,0.45,svc,0.6719302806436376,0.25410302770691606
240,30.0%,0.5,cnn,0.6240998115644947,0.169035633449254
241,30.0%,0.5,dt,0.5468490953283928,0.2231985074971159
242,30.0%,0.5,lr,0.641747401891247,0.15419031020797325
243,30.0%,0.5,rf,0.6916255771942131,0.1671518715702868
244,30.0%,0.5,svc,0.7021705454694355,0.19337207809933674
245,30.0%,0.55,cnn,0.5990130706653822,0.16774353645642318
246,30.0%,0.55,dt,0.5479329836593869,0.24245203671995405
247,30.0%,0.55,lr,0.6323441418765772,0.1352965712738534
248,30.0%,0.55,rf,0.6547327239583589,0.17243159982644632
249,30.0%,0.55,svc,0.6794330000850867,0.1716690837934579
250,30.0%,0.6,cnn,0.5417642657165745,0.16250470826824442
251,30.0%,0.6,dt,0.5116798932099791,0.24679592506801382
252,30.0%,0.6,lr,0.588344165463272,0.12780486235739708
253,30.0%,0.6,rf,0.5990470329281466,0.1656746596619761
254,30.0%,0.6,svc,0.617617358074792,0.16087520045709477
255,30.0%,0.65,cnn,0.4893284131128096,0.13589579990462336
256,30.0%,0.65,dt,0.4823903706366358,0.23665217263964233
257,30.0%,0.65,lr,0.5135394317674745,0.1006040969066816
258,30.0%,0.65,rf,0.5230063177645804,0.13733075641858158
259,30.0%,0.65,svc,0.527906288296321,0.12144330921535125
260,40.0%,0.05,cnn,0.1699328039649547,0.5447546729762281
261,40.0%,0.05,dt,0.2345139767267288,0.2511020560958789
262,40.0%,0.05,lr,0.09794225523486291,0.6014197415640196
263,40.0%,0.05,rf,0.1516013846657085,0.31929779802031916
264,40.0%,0.05,svc,0.00591798281562361,0.29948919174962413
265,40.0%,0.1,cnn,0.23777906951012298,0.5168312615904254
266,40.0%,0.1,dt,0.1692312566265741,0.25192020658179765
267,40.0%,0.1,lr,0.233301545099546,0.2502129049858518
