,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
54,100.0%,0.3,lstm,0.24734999999999996,0.019055341363585138
55,100.0%,0.3,mnb,0.02566666666666666,0.00801220333608993
56,100.0%,0.3,sgd,0.027916666666666663,0.008071964395077713
57,100.0%,0.35,lstm,0.2885,0.01561332322309909
58,100.0%,0.35,mnb,0.02766666666666667,0.009109802728222299
59,100.0%,0.35,sgd,0.05145,0.014648967246168253
60,100.0%,0.4,lstm,0.3234166666666666,0.015981176067666206
61,100.0%,0.4,mnb,0.04283333333333333,0.018309284121927637
62,100.0%,0.4,sgd,0.10288333333333331,0.037390456862250517
63,100.0%,0.45,lstm,0.35968333333333324,0.012346633865798887
64,100.0%,0.45,mnb,0.05316666666666666,0.020737827062263965
65,100.0%,0.45,sgd,0.19151666666666664,0.07476359100678542
66,100.0%,0.5,lstm,0.3995833333333333,0.019404089212352104
67,100.0%,0.5,mnb,0.0916666666666667,0.034281626056204974
68,100.0%,0.5,sgd,0.27453333333333324,0.07940369718367515
69,100.0%,0.55,lstm,0.4302666666666667,0.01901711268075793
70,100.0%,0.55,mnb,0.14750000000000002,0.06652585704199843
71,100.0%,0.55,sgd,0.36606666666666665,0.11084633144765008
72,100.0%,0.6,lstm,0.4726833333333333,0.01742643816522575
73,100.0%,0.6,mnb,0.20900000000000007,0.09034512371628224
74,100.0%,0.6,sgd,0.4685333333333333,0.09399660057438369
75,100.0%,0.65,lstm,0.5115833333333334,0.018293622090646857
76,100.0%,0.65,mnb,0.3358333333333334,0.12490295083158279
77,100.0%,0.65,sgd,0.5518833333333333,0.0519345880582643
78,20.0%,0.05,lstm,0.008733333333333334,0.018310884897981487
79,20.0%,0.05,mnb,0.0008166666666666669,0.0009692098926919566
80,20.0%,0.05,sgd,0.0013999999999999998,0.006073401591904797
81,20.0%,0.1,lstm,0.018150000000000003,0.019551942314661782
82,20.0%,0.1,mnb,0.0011666666666666668,0.001555487135879001
83,20.0%,0.1,sgd,0.0006000000000000001,0.004780347700526713
84,20.0%,0.15,lstm,0.0212,0.017601234282738867
85,20.0%,0.15,mnb,0.0013333333333333333,0.0019666764075348094
86,20.0%,0.15,sgd,0.004183333333333333,0.005554562171723369
87,20.0%,0.2,lstm,0.02728333333333333,0.012371883678208682
88,20.0%,0.2,mnb,0.003916666666666668,0.002228666422547014
89,20.0%,0.2,sgd,0.005816666666666668,0.007121462622597795
90,20.0%,0.25,lstm,0.04021666666666667,0.015175799321863455
91,20.0%,0.25,mnb,0.0033666666666666675,0.0022125556035613152
92,20.0%,0.25,sgd,0.007516666666666668,0.00873309532886184
93,20.0%,0.3,lstm,0.04833333333333333,0.015635025519279006
94,20.0%,0.3,mnb,0.008433333333333336,0.0035519138438344744
95,20.0%,0.3,sgd,0.009766666666666668,0.007750120503327154
96,20.0%,0.35,lstm,0.05525000000000001,0.016925164900128794
97,20.0%,0.35,mnb,0.009183333333333333,0.006224926717936377
98,20.0%,0.35,sgd,0.02576666666666667,0.014809557336590014
99,20.0%,0.4,lstm,0.06303333333333334,0.016773302541864543
100,20.0%,0.4,mnb,0.01988333333333333,0.010312098128707462
101,20.0%,0.4,sgd,0.061649999999999996,0.03459946930029518
102,20.0%,0.45,lstm,0.06528333333333335,0.016120603294378057
103,20.0%,0.45,mnb,0.027233333333333328,0.015176963790068733
104,20.0%,0.45,sgd,0.1321166666666667,0.07557568521291949
105,20.0%,0.5,lstm,0.07626666666666666,0.017236555647074988
106,20.0%,0.5,mnb,0.0487,0.02251229549103916
107,20.0%,0.5,sgd,0.17751666666666666,0.09423690646572544
108,20.0%,0.55,lstm,0.07615000000000001,0.02032288925291399
109,20.0%,0.55,mnb,0.09681666666666668,0.04717437997935725
110,20.0%,0.55,sgd,0.21676666666666666,0.1281847221337463
111,20.0%,0.6,lstm,0.09418333333333335,0.01852327675140647
112,20.0%,0.6,mnb,0.13993333333333335,0.06050031822847815
113,20.0%,0.6,sgd,0.26010000000000005,0.12159623689730784
114,20.0%,0.65,lstm,0.09636666666666668,0.016561241277261742
115,20.0%,0.65,mnb,0.2388,0.07826134378500335
116,20.0%,0.65,sgd,0.20925,0.11002944355160514
117,30.0%,0.05,lstm,0.010866666666666669,0.018332152522056815
118,30.0%,0.05,mnb,0.0008666666666666667,0.001325696520463042
119,30.0%,0.05,sgd,0.0002166666666666669,0.0050611490676582
120,30.0%,0.1,lstm,0.025899999999999992,0.013602991557387104
121,30.0%,0.1,mnb,0.0018000000000000006,0.0017547963827258095
122,30.0%,0.1,sgd,0.0027500000000000003,0.0040699699227898225
123,30.0%,0.15,lstm,0.0319,0.01886905878178201
124,30.0%,0.15,mnb,0.002883333333333334,0.001506785418979947
125,30.0%,0.15,sgd,0.0032333333333333337,0.006448380354430273
126,30.0%,0.2,lstm,0.044283333333333334,0.014073503677021102
127,30.0%,0.2,mnb,0.0048000000000000004,0.002028248777504445
128,30.0%,0.2,sgd,0.0066,0.007731931105531765
129,30.0%,0.25,lstm,0.06271666666666666,0.017440382851961377
130,30.0%,0.25,mnb,0.0053166666666666675,0.0023761869387352694
131,30.0%,0.25,sgd,0.008166666666666666,0.010025255464397743
132,30.0%,0.3,lstm,0.07196666666666668,0.01472385662871615
133,30.0%,0.3,mnb,0.011283333333333336,0.004589499509437432
134,30.0%,0.3,sgd,0.01545,0.007664686150985143
135,30.0%,0.35,lstm,0.08211666666666667,0.015672116318004328
136,30.0%,0.35,mnb,0.013000000000000001,0.006505965432347189
137,30.0%,0.35,sgd,0.032549999999999996,0.013136124185645082
138,30.0%,0.4,lstm,0.09443333333333333,0.015243276264122745
139,30.0%,0.4,mnb,0.0254,0.012835430489939516
140,30.0%,0.4,sgd,0.07591666666666666,0.03777909550890895
141,30.0%,0.45,lstm,0.09816666666666665,0.015560412487514885
142,30.0%,0.45,mnb,0.0332,0.015402418081542284
143,30.0%,0.45,sgd,0.1576,0.07601116070501843
144,30.0%,0.5,lstm,0.11633333333333332,0.015896395890227778
145,30.0%,0.5,mnb,0.06120000000000001,0.02783869794814901
146,30.0%,0.5,sgd,0.22341666666666668,0.07966244337865536
147,30.0%,0.55,lstm,0.11808333333333333,0.02078091105721345
148,30.0%,0.55,mnb,0.1134,0.05617973005422434
149,30.0%,0.55,sgd,0.30129999999999996,0.10764922281379366
