,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
183,20.0%,0.55,rf,0.12429999999999994,0.08238345582156316
184,20.0%,0.55,svc,0.2737966666666666,0.0695179633611706
185,20.0%,0.6,cnn,0.14353999999999995,0.06761601830213373
186,20.0%,0.6,dt,0.1464033333333333,0.08881341729690409
187,20.0%,0.6,lr,0.1540466666666666,0.09613527011934558
188,20.0%,0.6,rf,0.16056333333333325,0.10293032622833403
189,20.0%,0.6,svc,0.20472999999999997,0.07555088328747216
190,20.0%,0.65,cnn,0.16284333333333328,0.06572839979970517
191,20.0%,0.65,dt,0.16776666666666668,0.10132254857915249
192,20.0%,0.65,lr,0.17355666666666666,0.10148662790574017
193,20.0%,0.65,rf,0.19264999999999996,0.11807937642929452
194,20.0%,0.65,svc,0.10474333333333331,0.08473422417846545
195,30.0%,0.05,cnn,0.006029999999999969,0.008967879463338312
196,30.0%,0.05,dt,0.004559999999999983,0.006195137136329631
197,30.0%,0.05,lr,0.00207666666666666,0.0028215529269429262
198,30.0%,0.05,rf,0.0021833333333333,0.003084564836388575
199,30.0%,0.05,svc,0.002596666666666647,0.0014653429240479756
200,30.0%,0.1,cnn,0.013523333333333283,0.013409329828025757
201,30.0%,0.1,dt,0.005446666666666629,0.005529340755949293
202,30.0%,0.1,lr,0.00493333333333329,0.004684923238125277
203,30.0%,0.1,rf,0.005179999999999979,0.006801541407448826
204,30.0%,0.1,svc,0.005033333333333277,0.001848826903617592
205,30.0%,0.15,cnn,0.02267333333333329,0.025343610135745116
206,30.0%,0.15,dt,0.009026666666666634,0.007635937416577282
207,30.0%,0.15,lr,0.008173333333333309,0.0076683826165641214
208,30.0%,0.15,rf,0.00927666666666664,0.011254782380694061
209,30.0%,0.15,svc,0.01170333333333327,0.006022457015682808
210,30.0%,0.2,cnn,0.02869999999999994,0.03026293966622177
211,30.0%,0.2,dt,0.014673333333333283,0.015994480369766643
212,30.0%,0.2,lr,0.014499999999999982,0.016019643114540384
213,30.0%,0.2,rf,0.014826666666666622,0.01749313034294899
214,30.0%,0.2,svc,0.018889999999999962,0.004199125524727009
215,30.0%,0.25,cnn,0.037736666666666606,0.03810284162933107
216,30.0%,0.25,dt,0.027119999999999974,0.030455828953443013
217,30.0%,0.25,lr,0.018829999999999947,0.018004312701740893
218,30.0%,0.25,rf,0.019073333333333296,0.02199393228759386
219,30.0%,0.25,svc,0.0270233333333333,0.024569348486630064
220,30.0%,0.3,cnn,0.046799999999999946,0.04070303725005435
221,30.0%,0.3,dt,0.03814666666666663,0.04479544106524553
222,30.0%,0.3,lr,0.030186666666666608,0.03009613027402801
223,30.0%,0.3,rf,0.03290999999999998,0.038707642923454494
224,30.0%,0.3,svc,0.052349999999999966,0.030585716183911073
225,30.0%,0.35,cnn,0.06475333333333327,0.057105526837621386
226,30.0%,0.35,dt,0.04963999999999995,0.053369154206242164
227,30.0%,0.35,lr,0.04489999999999997,0.04334122828168945
228,30.0%,0.35,rf,0.04555999999999995,0.053001916686227425
229,30.0%,0.35,svc,0.10515999999999995,0.034043902689686274
230,30.0%,0.4,cnn,0.07905333333333328,0.06469811985400872
231,30.0%,0.4,dt,0.06397666666666663,0.07248638722776392
232,30.0%,0.4,lr,0.061259999999999946,0.054035624264508794
233,30.0%,0.4,rf,0.06075333333333328,0.06403067009366434
234,30.0%,0.4,svc,0.17561999999999997,0.04475393567744282
235,30.0%,0.45,cnn,0.09463999999999993,0.06579461564805938
236,30.0%,0.45,dt,0.07934666666666662,0.08913847705651036
237,30.0%,0.45,lr,0.07419666666666662,0.05545747350732897
238,30.0%,0.45,rf,0.07676333333333328,0.06698901342414464
239,30.0%,0.45,svc,0.22424666666666668,0.07403863266185284
240,30.0%,0.5,cnn,0.12720999999999996,0.07719519080071387
241,30.0%,0.5,dt,0.08454999999999993,0.09113077284112481
242,30.0%,0.5,lr,0.11355666666666658,0.07981782137590203
243,30.0%,0.5,rf,0.11320666666666662,0.08685644888345181
244,30.0%,0.5,svc,0.3886333333333333,0.1036184524018812
245,30.0%,0.55,cnn,0.15683666666666662,0.08202845378211793
246,30.0%,0.55,dt,0.15522999999999992,0.10001153778267372
247,30.0%,0.55,lr,0.1494633333333333,0.09439848217414099
248,30.0%,0.55,rf,0.15957666666666662,0.10734834590163042
249,30.0%,0.55,svc,0.40796999999999994,0.06662217270962967
250,30.0%,0.6,cnn,0.19592999999999997,0.09281796478164611
251,30.0%,0.6,dt,0.18665666666666658,0.11131642901124744
252,30.0%,0.6,lr,0.1998433333333333,0.12454693252866106
253,30.0%,0.6,rf,0.21189666666666665,0.13701559056352408
254,30.0%,0.6,svc,0.3874566666666666,0.057094457025078246
255,30.0%,0.65,cnn,0.23641666666666664,0.10480623857232048
256,30.0%,0.65,dt,0.23345999999999997,0.13227260930522916
257,30.0%,0.65,lr,0.24213666666666664,0.14446257475812596
258,30.0%,0.65,rf,0.2633433333333333,0.16397592902267877
259,30.0%,0.65,svc,0.2925666666666666,0.09170144711125802
260,40.0%,0.05,cnn,0.008159999999999978,0.009658821231713854
261,40.0%,0.05,dt,0.005213333333333296,0.006364650941661691
262,40.0%,0.05,lr,0.0032699999999999826,0.0033359225576060345
263,40.0%,0.05,rf,0.0028533333333333,0.0028216812466101103
