,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
29,10.0%,0.5,sgd,0.23405833333333337,0.07416870343094485
30,10.0%,0.55,lstm,0.051075,0.01749917765174681
31,10.0%,0.55,mnb,0.23155833333333334,0.0705136968437837
32,10.0%,0.55,sgd,0.23348333333333335,0.08595376745702321
33,10.0%,0.6,lstm,0.05336666666666667,0.019720711005869713
34,10.0%,0.6,mnb,0.1290666666666667,0.03729729152608904
35,10.0%,0.6,sgd,0.13360000000000002,0.06694841862435977
36,10.0%,0.65,lstm,0.06184166666666668,0.02308551724442355
37,10.0%,0.65,mnb,0.05331666666666668,0.015312423326281483
38,10.0%,0.65,sgd,0.05440833333333335,0.0321813390870264
39,100.0%,0.05,lstm,0.04575,0.019006522542529023
40,100.0%,0.05,mnb,0.001666666666666667,0.0032882099887282116
41,100.0%,0.05,sgd,0.0045583333333333335,0.005797414424172404
42,100.0%,0.1,lstm,0.092125,0.014525296681909083
43,100.0%,0.1,mnb,0.002416666666666666,0.0038119302623382256
44,100.0%,0.1,sgd,0.004375,0.006878370067822461
45,100.0%,0.15,lstm,0.13984166666666667,0.01997813756064756
46,100.0%,0.15,mnb,0.003833333333333333,0.004707107683609759
47,100.0%,0.15,sgd,0.007183333333333334,0.008996715865166769
48,100.0%,0.2,lstm,0.1799083333333333,0.025439331631108845
49,100.0%,0.2,mnb,0.004416666666666667,0.005368102701201259
50,100.0%,0.2,sgd,0.014241666666666668,0.009856104053572384
51,100.0%,0.25,lstm,0.222025,0.022937790366352996
52,100.0%,0.25,mnb,0.011166666666666665,0.007590721152765896
53,100.0%,0.25,sgd,0.019083333333333334,0.012627556456925034
54,100.0%,0.3,lstm,0.2744666666666667,0.024824741430976596
55,100.0%,0.3,mnb,0.02566666666666667,0.012328373595823871
56,100.0%,0.3,sgd,0.040183333333333335,0.026204747575929964
57,100.0%,0.35,lstm,0.3152,0.02932621507723597
58,100.0%,0.35,mnb,0.0495,0.025455514005364555
59,100.0%,0.35,sgd,0.06620000000000001,0.042420187044702705
60,100.0%,0.4,lstm,0.37079166666666663,0.031376514214579404
61,100.0%,0.4,mnb,0.12708333333333335,0.06377146477765706
62,100.0%,0.4,sgd,0.13945833333333332,0.09622504223694266
63,100.0%,0.45,lstm,0.411375,0.03340056420295367
64,100.0%,0.45,mnb,0.27266666666666667,0.09300974317204608
65,100.0%,0.45,sgd,0.273575,0.11597280632425297
66,100.0%,0.5,lstm,0.4484333333333333,0.042216674656439
67,100.0%,0.5,mnb,0.5091666666666668,0.0971188592866064
68,100.0%,0.5,sgd,0.5111749999999999,0.10267576956352548
69,100.0%,0.55,lstm,0.5071083333333334,0.042690560591135775
70,100.0%,0.55,mnb,0.7261666666666665,0.06783176585777312
71,100.0%,0.55,sgd,0.7197,0.0783701194987739
72,100.0%,0.6,lstm,0.5425,0.04588568184433274
73,100.0%,0.6,mnb,0.81275,0.07478049109720726
74,100.0%,0.6,sgd,0.8022416666666667,0.07328601685251043
75,100.0%,0.65,lstm,0.5940666666666667,0.056612902489550185
76,100.0%,0.65,mnb,0.8517499999999999,0.07262905060371257
77,100.0%,0.65,sgd,0.8361416666666666,0.06815260876321973
78,20.0%,0.05,lstm,0.011008333333333335,0.014858716047392211
79,20.0%,0.05,mnb,0.0011083333333333333,0.0019000036856812255
80,20.0%,0.05,sgd,0.00205,0.004963480074885112
81,20.0%,0.1,lstm,0.01555,0.01453471648135172
82,20.0%,0.1,mnb,-1.666666666666666e-05,0.0018830662164008307
83,20.0%,0.1,sgd,0.0011,0.006425265256271167
84,20.0%,0.15,lstm,0.02792500000000001,0.01768689516292223
85,20.0%,0.15,mnb,0.0008583333333333335,0.0035486909252445704
86,20.0%,0.15,sgd,0.0017583333333333335,0.006501448879673978
87,20.0%,0.2,lstm,0.03464166666666667,0.020622577100704698
88,20.0%,0.2,mnb,0.0017333333333333335,0.0034219590765479104
89,20.0%,0.2,sgd,0.004608333333333333,0.007220763517129482
90,20.0%,0.25,lstm,0.04473333333333333,0.020215117620042602
91,20.0%,0.25,mnb,0.004216666666666666,0.0036855003955048094
92,20.0%,0.25,sgd,0.008166666666666668,0.009367683886669117
93,20.0%,0.3,lstm,0.055241666666666675,0.020713733451538874
94,20.0%,0.3,mnb,0.012850000000000002,0.007835118099317464
95,20.0%,0.3,sgd,0.01825833333333333,0.02125179017010505
96,20.0%,0.35,lstm,0.062125,0.01876504998235646
97,20.0%,0.35,mnb,0.031625,0.021934609657806452
98,20.0%,0.35,sgd,0.0371,0.030589282464299032
99,20.0%,0.4,lstm,0.07610833333333332,0.022704086861710375
100,20.0%,0.4,mnb,0.09499999999999999,0.05284271890408811
101,20.0%,0.4,sgd,0.09227500000000001,0.07083594046940349
102,20.0%,0.45,lstm,0.08395833333333334,0.020606515993747226
103,20.0%,0.45,mnb,0.2155,0.07755854389486974
104,20.0%,0.45,sgd,0.195725,0.09209923060108008
105,20.0%,0.5,lstm,0.08886666666666666,0.022706728478741337
106,20.0%,0.5,mnb,0.4014916666666667,0.07765664525216583
107,20.0%,0.5,sgd,0.3805666666666667,0.09891008847554884
108,20.0%,0.55,lstm,0.10460833333333334,0.02014789679093178
109,20.0%,0.55,mnb,0.48984999999999995,0.09186175674861208
110,20.0%,0.55,sgd,0.4613,0.1159990292628174
111,20.0%,0.6,lstm,0.10664166666666668,0.02255704098589209
112,20.0%,0.6,mnb,0.4111916666666667,0.08595418907213086
113,20.0%,0.6,sgd,0.38640833333333335,0.07065033983079828
114,20.0%,0.65,lstm,0.11976666666666666,0.025542758132143812
115,20.0%,0.65,mnb,0.24394166666666667,0.05296094896096499
116,20.0%,0.65,sgd,0.26294166666666663,0.09338159678998652
117,30.0%,0.05,lstm,0.013458333333333334,0.014933407268974633
118,30.0%,0.05,mnb,0.0010166666666666668,0.002078231849204419
119,30.0%,0.05,sgd,0.0021666666666666666,0.004943943469621424
120,30.0%,0.1,lstm,0.026725000000000006,0.013443290476052708
121,30.0%,0.1,mnb,0.0003583333333333333,0.0020734246154259723
122,30.0%,0.1,sgd,0.0020333333333333336,0.005998505883062186
123,30.0%,0.15,lstm,0.041699999999999994,0.016303631600393345
124,30.0%,0.15,mnb,0.0009833333333333335,0.003543210653728434
125,30.0%,0.15,sgd,0.003275,0.007062699391102217
