,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
180,20.0%,0.55,cnn,0.27369062499999997,0.1401202299540442
181,20.0%,0.55,dt,0.31983437499999995,0.24024265590562402
182,20.0%,0.55,lr,0.2973625,0.10952389748131162
183,20.0%,0.55,rf,0.310115625,0.15406346423531292
184,20.0%,0.55,svc,0.31911874999999995,0.14336149153900885
185,20.0%,0.6,cnn,0.25992812499999995,0.13151821318349025
186,20.0%,0.6,dt,0.27117187499999995,0.23860312859976154
187,20.0%,0.6,lr,0.28577187499999995,0.11086364573721992
188,20.0%,0.6,rf,0.29158437499999995,0.1487463885918034
189,20.0%,0.6,svc,0.30870312499999997,0.14577854636868873
190,20.0%,0.65,cnn,0.22221249999999998,0.08454697161226435
191,20.0%,0.65,dt,0.15278749999999997,0.09294348979674416
192,20.0%,0.65,lr,0.22579374999999996,0.0680099508881702
193,20.0%,0.65,rf,0.23403437499999996,0.09145772852266318
194,20.0%,0.65,svc,0.238615625,0.08776163439285434
195,30.0%,0.05,cnn,0.00403459119496854,0.006775822500602301
196,30.0%,0.05,dt,0.0069562499999999815,0.009783889257024033
197,30.0%,0.05,lr,0.0013093749999999924,0.0024863601968141756
198,30.0%,0.05,rf,4.651162790697208e-05,0.0037921804107190937
199,30.0%,0.05,svc,0.0016312499999999942,0.0032878122086726254
200,30.0%,0.1,cnn,0.005215189873417708,0.007479987543972634
201,30.0%,0.1,dt,0.007590624999999981,0.012285501998508051
202,30.0%,0.1,lr,0.0028749999999999726,0.0030765904513001614
203,30.0%,0.1,rf,0.001822695035460976,0.0036980374871453214
204,30.0%,0.1,svc,0.0021093749999999837,0.004526189296088379
205,30.0%,0.15,cnn,0.00882187499999999,0.010169684087998277
206,30.0%,0.15,dt,0.00848437499999998,0.011575894205241464
207,30.0%,0.15,lr,0.005515624999999972,0.004162358228458058
208,30.0%,0.15,rf,0.0033691275167785028,0.005003173308266291
209,30.0%,0.15,svc,0.002768749999999983,0.004517223328968079
210,30.0%,0.2,cnn,0.019318749999999975,0.02218089491108516
211,30.0%,0.2,dt,0.01806249999999998,0.022776998631660543
212,30.0%,0.2,lr,0.012496874999999978,0.010044319536575393
213,30.0%,0.2,rf,0.008669999999999973,0.008836666670886078
214,30.0%,0.2,svc,0.006099999999999982,0.0058845817087361755
215,30.0%,0.25,cnn,0.04714687499999996,0.049396406970745314
216,30.0%,0.25,dt,0.038568749999999985,0.05219419735393373
217,30.0%,0.25,lr,0.024215624999999963,0.019250387717650638
218,30.0%,0.25,rf,0.023227848101265797,0.02553089766277765
219,30.0%,0.25,svc,0.012378124999999964,0.010623006194726963
220,30.0%,0.3,cnn,0.06261249999999996,0.05423646543046418
221,30.0%,0.3,dt,0.06453749999999996,0.06404122468472553
222,30.0%,0.3,lr,0.039824999999999965,0.028834443938330154
223,30.0%,0.3,rf,0.04505624999999998,0.04436930448877479
224,30.0%,0.3,svc,0.023628124999999965,0.022151085473566135
225,30.0%,0.35,cnn,0.10759999999999996,0.07450656971581507
226,30.0%,0.35,dt,0.11611874999999997,0.11892670550152536
227,30.0%,0.35,lr,0.08453124999999997,0.05623668780281648
228,30.0%,0.35,rf,0.09509062499999996,0.08377641087128788
229,30.0%,0.35,svc,0.07648437499999997,0.08144101971016093
230,30.0%,0.4,cnn,0.16823124999999997,0.0889664251471257
231,30.0%,0.4,dt,0.15017812499999997,0.13336145552730608
232,30.0%,0.4,lr,0.13979687499999996,0.07292225326756915
233,30.0%,0.4,rf,0.15569687499999998,0.09753552967981147
234,30.0%,0.4,svc,0.14129062499999998,0.11020008206737976
235,30.0%,0.45,cnn,0.23359374999999996,0.0753047307704841
236,30.0%,0.45,dt,0.15408124999999998,0.09542265937897547
237,30.0%,0.45,lr,0.22255312499999996,0.07527170066492829
238,30.0%,0.45,rf,0.24095312499999996,0.06641857446677182
239,30.0%,0.45,svc,0.2447375,0.11410537927116475
240,30.0%,0.5,cnn,0.32105937500000004,0.09306208402933844
241,30.0%,0.5,dt,0.28996875,0.11868231851454294
242,30.0%,0.5,lr,0.33497499999999997,0.0891217420479446
243,30.0%,0.5,rf,0.36232499999999995,0.08541935399975728
244,30.0%,0.5,svc,0.371746875,0.1139502401176819
245,30.0%,0.55,cnn,0.38861249999999997,0.14314581067292034
246,30.0%,0.55,dt,0.39693437499999995,0.23413238824652607
247,30.0%,0.55,lr,0.414859375,0.12732442803503846
248,30.0%,0.55,rf,0.43994062500000003,0.1616190720176876
249,30.0%,0.55,svc,0.45857812499999995,0.16286135967272805
250,30.0%,0.6,cnn,0.41001562499999994,0.16495705007872838
