,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
147,30.0%,0.55,lstm,0.20264495686666667,0.033401638239740405
148,30.0%,0.55,mnb,0.3914921367666667,0.13444011223452632
149,30.0%,0.55,sgd,0.5701665501666665,0.08647438082106224
150,30.0%,0.6,lstm,0.2250995797666667,0.022436983498929843
151,30.0%,0.6,mnb,0.4835003127333333,0.0918029267942855
152,30.0%,0.6,sgd,0.5850126565666666,0.08856423705542713
153,30.0%,0.65,lstm,0.22174864203333336,0.021653514981033337
154,30.0%,0.65,mnb,0.5966131906333333,0.06658697025313864
155,30.0%,0.65,sgd,0.5487407912333334,0.09422348519079382
156,40.0%,0.05,lstm,0.0814583508,0.08679106790556745
157,40.0%,0.05,mnb,0.007443319,0.010777613974823085
158,40.0%,0.05,sgd,0.0041493788999999994,0.046455265508332004
159,40.0%,0.1,lstm,0.13609096490000003,0.0717497747020764
160,40.0%,0.1,mnb,0.0119679568,0.012634424442457914
161,40.0%,0.1,sgd,0.017492925333333333,0.034824984693555064
162,40.0%,0.15,lstm,0.16043887113333336,0.062115699855142675
163,40.0%,0.15,mnb,0.022800028633333337,0.018384274205522046
164,40.0%,0.15,sgd,0.026652407466666663,0.0308279291117126
165,40.0%,0.2,lstm,0.18888967036666665,0.05253390954122073
166,40.0%,0.2,mnb,0.0491751422,0.01934110527762531
167,40.0%,0.2,sgd,0.04793464896666667,0.04934315644514003
168,40.0%,0.25,lstm,0.2341157526666667,0.04100963361898211
169,40.0%,0.25,mnb,0.048980589299999995,0.01883211426728377
170,40.0%,0.25,sgd,0.07050207416666665,0.05147162542957646
171,40.0%,0.3,lstm,0.24353244460000004,0.0229321373069804
172,40.0%,0.3,mnb,0.0916907128,0.030461841005419977
173,40.0%,0.3,sgd,0.10084625273333335,0.03579620255226999
174,40.0%,0.35,lstm,0.24469274963333335,0.03102586784169217
175,40.0%,0.35,mnb,0.10184374416666665,0.04861611095096075
176,40.0%,0.35,sgd,0.1784680247333333,0.06083380865214423
177,40.0%,0.4,lstm,0.259807831,0.02768192359885933
178,40.0%,0.4,mnb,0.17013815496666665,0.07556247367158142
179,40.0%,0.4,sgd,0.3211513675333333,0.0969751522754606
180,40.0%,0.45,lstm,0.25366050216666675,0.029063163288938983
181,40.0%,0.45,mnb,0.21340107770000002,0.08534647321020641
182,40.0%,0.45,sgd,0.4712848685333333,0.10123680332000783
183,40.0%,0.5,lstm,0.2744834279666667,0.02533718353461087
184,40.0%,0.5,mnb,0.3022229328666666,0.09711879825652071
185,40.0%,0.5,sgd,0.5566351941333333,0.07763450813922744
186,40.0%,0.55,lstm,0.28592109590000003,0.02986220279361389
187,40.0%,0.55,mnb,0.4268842208,0.13925610628221768
188,40.0%,0.55,sgd,0.6265393592999999,0.07950535017382632
189,40.0%,0.6,lstm,0.2969381600333333,0.02098547967183295
190,40.0%,0.6,mnb,0.5181418176333333,0.10839091153368093
191,40.0%,0.6,sgd,0.6607585406333335,0.059058989248727406
192,40.0%,0.65,lstm,0.29260150716666666,0.025991901935206067
193,40.0%,0.65,mnb,0.6456332642000001,0.08235846620595905
194,40.0%,0.65,sgd,0.6858081566,0.040219973872233715
195,50.0%,0.05,lstm,0.11583613123333333,0.07501759221174822
196,50.0%,0.05,mnb,0.0125207338,0.008178373258590025
197,50.0%,0.05,sgd,-0.010288556166666666,0.04199342835864766
198,50.0%,0.1,lstm,0.19210370213333336,0.0567092712530134
199,50.0%,0.1,mnb,0.017531777400000004,0.017750209283847247
200,50.0%,0.1,sgd,0.019594536166666666,0.0350526904951741
201,50.0%,0.15,lstm,0.20896589463333334,0.05890247033715273
202,50.0%,0.15,mnb,0.029416603633333333,0.020134165450880856
203,50.0%,0.15,sgd,0.021951500700000005,0.040713547854497725
204,50.0%,0.2,lstm,0.2424010190666666,0.041066954381676665
205,50.0%,0.2,mnb,0.05273126046666667,0.022369465101631014
206,50.0%,0.2,sgd,0.05238620459999999,0.046276087331201476
207,50.0%,0.25,lstm,0.2872222503,0.03205135930134335
208,50.0%,0.25,mnb,0.060662802366666664,0.015259041236158809
209,50.0%,0.25,sgd,0.08787334663333332,0.04656447272842312
210,50.0%,0.3,lstm,0.29903720310000004,0.03905735470121563
211,50.0%,0.3,mnb,0.10333586483333333,0.035177514695892434
212,50.0%,0.3,sgd,0.11374702443333334,0.047944249810686165
213,50.0%,0.35,lstm,0.3145090602333333,0.037147916996396795
214,50.0%,0.35,mnb,0.11647246046666668,0.048943115394337246
215,50.0%,0.35,sgd,0.19831428899999998,0.051778027903874535
216,50.0%,0.4,lstm,0.32011950513333337,0.03394273134859584
217,50.0%,0.4,mnb,0.18957485919999997,0.07891261826252785
218,50.0%,0.4,sgd,0.3395705523,0.09348060158262989
219,50.0%,0.45,lstm,0.32936768196666666,0.02354495064243118
220,50.0%,0.45,mnb,0.22984850336666662,0.08715946031079194
221,50.0%,0.45,sgd,0.4930354317666667,0.09965177869635171
222,50.0%,0.5,lstm,0.3425612048666667,0.025849041066160504
223,50.0%,0.5,mnb,0.3272742158333333,0.10451972026867248
224,50.0%,0.5,sgd,0.5874167975333334,0.07196507032689894
225,50.0%,0.55,lstm,0.35483268883333335,0.023962257655103868
226,50.0%,0.55,mnb,0.45341227559999997,0.14316796420769048
227,50.0%,0.55,sgd,0.6540269295000001,0.07156295687962624
228,50.0%,0.6,lstm,0.3602134625666668,0.027321804365557915
229,50.0%,0.6,mnb,0.5428082829666666,0.10974495559313155
230,50.0%,0.6,sgd,0.7025534256333332,0.05229245194655965
231,50.0%,0.65,lstm,0.3701405756,0.028348882272360154
232,50.0%,0.65,mnb,0.6672346107666667,0.08312237332538086
233,50.0%,0.65,sgd,0.7341740185666665,0.0277497084470278
234,60.0%,0.05,lstm,0.11441659680000002,0.09308882366603095
235,60.0%,0.05,mnb,0.013305812833333331,0.008258418344272116
236,60.0%,0.05,sgd,0.008507680866666666,0.04075593708720085
237,60.0%,0.1,lstm,0.2380455879333333,0.051897918831866716
238,60.0%,0.1,mnb,0.02358470833333333,0.015285026291331782
239,60.0%,0.1,sgd,0.021342679766666667,0.033592593921700116
240,60.0%,0.15,lstm,0.25622887003333333,0.06291663626874039
241,60.0%,0.15,mnb,0.029791121766666664,0.019290684295199617
242,60.0%,0.15,sgd,0.034799629500000005,0.036652730583353894
243,60.0%,0.2,lstm,0.2975724696,0.05001881638399276
244,60.0%,0.2,mnb,0.06595497533333335,0.017307029663820406
245,60.0%,0.2,sgd,0.0704307533,0.036318417428184924
246,60.0%,0.25,lstm,0.3457892505666667,0.03534641256237485
247,60.0%,0.25,mnb,0.07007915940000001,0.01741631979951328
248,60.0%,0.25,sgd,0.08869893773333333,0.05296562485644588
249,60.0%,0.3,lstm,0.36020214583333343,0.03864203596676779
250,60.0%,0.3,mnb,0.10194659776666667,0.03895472236306582
251,60.0%,0.3,sgd,0.13541287726666665,0.0326775415999941
252,60.0%,0.35,lstm,0.36746798526666663,0.0334869539328145
253,60.0%,0.35,mnb,0.13177131186666666,0.048493299071778705
254,60.0%,0.35,sgd,0.21130571113333332,0.05985239968606383
255,60.0%,0.4,lstm,0.3871791195666667,0.02850009796608499
256,60.0%,0.4,mnb,0.19358691509999998,0.08586752379994289
257,60.0%,0.4,sgd,0.3575512086,0.08606140395652295
258,60.0%,0.45,lstm,0.40304409656666657,0.01965388337765965
259,60.0%,0.45,mnb,0.23745147476666667,0.1000789713111585
260,60.0%,0.45,sgd,0.51455954,0.09399156261302463
261,60.0%,0.5,lstm,0.41935659096666655,0.025991749918210887
262,60.0%,0.5,mnb,0.3536311706333334,0.10706613699228953
263,60.0%,0.5,sgd,0.6093292762333333,0.07025691881761868
264,60.0%,0.55,lstm,0.4283172461333333,0.027050375492429737
265,60.0%,0.55,mnb,0.4696662585333334,0.14885674286734943
266,60.0%,0.55,sgd,0.6700505537,0.06733295326825692
267,60.0%,0.6,lstm,0.4442814056,0.023302985714829562
268,60.0%,0.6,mnb,0.5618743045666666,0.11547655602904579
269,60.0%,0.6,sgd,0.7202658907666667,0.04666865690502972
270,60.0%,0.65,lstm,0.4478084774,0.01932279953247944
271,60.0%,0.65,mnb,0.6783323026,0.09089904072210062
272,60.0%,0.65,sgd,0.7557047623333334,0.01977015385411182
273,70.0%,0.05,lstm,0.12015125976666664,0.08707175594352558
274,70.0%,0.05,mnb,0.0153031781,0.008175111695307461
275,70.0%,0.05,sgd,0.010471638533333334,0.033554020974295065
276,70.0%,0.1,lstm,0.2502897783666666,0.06361948796740653
277,70.0%,0.1,mnb,0.0315117905,0.015192234817319279
278,70.0%,0.1,sgd,0.026232742033333332,0.045361464394557634
279,70.0%,0.15,lstm,0.2944119266,0.05325292882276232
280,70.0%,0.15,mnb,0.037828666533333326,0.022970312520921313
281,70.0%,0.15,sgd,0.04157183313333333,0.03164644403504407
282,70.0%,0.2,lstm,0.3439827232333333,0.03247139709624304
283,70.0%,0.2,mnb,0.07593804353333332,0.024166946141373814
284,70.0%,0.2,sgd,0.06765503076666667,0.04081276482740922
285,70.0%,0.25,lstm,0.39665491573333334,0.02662808297883381
286,70.0%,0.25,mnb,0.07642963173333332,0.017558229218572276
287,70.0%,0.25,sgd,0.10739670543333334,0.04242176661895737
288,70.0%,0.3,lstm,0.4126861031333334,0.03319120098392033
289,70.0%,0.3,mnb,0.12090726413333333,0.041574524069758215
290,70.0%,0.3,sgd,0.14396240670000002,0.04076371601799957
291,70.0%,0.35,lstm,0.44215434676666665,0.026117747367209444
292,70.0%,0.35,mnb,0.13702703789999998,0.04945246258995782
293,70.0%,0.35,sgd,0.21952331743333328,0.05181501368855162
294,70.0%,0.4,lstm,0.45433891386666664,0.03123845499019392
295,70.0%,0.4,mnb,0.20262056953333332,0.08201204862556519
296,70.0%,0.4,sgd,0.3723665141666667,0.08558599008282519
297,70.0%,0.45,lstm,0.4686647913333334,0.03430358228909799
298,70.0%,0.45,mnb,0.24845117480000004,0.0916063795713159
299,70.0%,0.45,sgd,0.5223498220333334,0.09551162836840232
300,70.0%,0.5,lstm,0.4845365429,0.025901505661439027
301,70.0%,0.5,mnb,0.36678998906666666,0.10595864569038381
302,70.0%,0.5,sgd,0.6161113667333333,0.06587120848472564
303,70.0%,0.55,lstm,0.5021759935666668,0.026909574335685773
304,70.0%,0.55,mnb,0.4804267501000001,0.14634602281248824
305,70.0%,0.55,sgd,0.6792115940666665,0.06481313972165023
306,70.0%,0.6,lstm,0.5117100189000001,0.019925042254315073
307,70.0%,0.6,mnb,0.5708717421666666,0.11629488344588046
308,70.0%,0.6,sgd,0.7373252283333334,0.047138292737865434
309,70.0%,0.65,lstm,0.5190516212333333,0.023187380974569724
310,70.0%,0.65,mnb,0.6869078835666665,0.09063291416706641
311,70.0%,0.65,sgd,0.7677267541333334,0.02225950060105215
312,80.0%,0.05,lstm,0.18755557526666664,0.08052143301418574
313,80.0%,0.05,mnb,0.016227459633333333,0.012037728773833951
314,80.0%,0.05,sgd,0.003685445466666667,0.02988808719332351
315,80.0%,0.1,lstm,0.2972975777,0.05293534992904532
316,80.0%,0.1,mnb,0.036907524700000006,0.01589450120628088
317,80.0%,0.1,sgd,0.03218834226666666,0.03826127590811256
318,80.0%,0.15,lstm,0.3457181470000001,0.05117419020258562
319,80.0%,0.15,mnb,0.039435749900000004,0.024570271091203622
320,80.0%,0.15,sgd,0.041492937400000006,0.03407692402456597
321,80.0%,0.2,lstm,0.3835205090666667,0.05437269179894834
322,80.0%,0.2,mnb,0.08415611446666665,0.02431846667088032
323,80.0%,0.2,sgd,0.07351131320000001,0.04248592782913027
324,80.0%,0.25,lstm,0.4525725192,0.04077866470250665
