,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
49,10.0%,0.5,svc,0.25196668145361456,0.10692886357289277
50,10.0%,0.55,cnn,0.15490822820173927,0.05706829191128289
51,10.0%,0.55,dt,0.19083965881703344,0.15187789677693278
52,10.0%,0.55,lr,0.1578437133349176,0.09146745885446071
53,10.0%,0.55,rf,0.18430570759617743,0.10906278950521689
54,10.0%,0.55,svc,0.1291306423655191,0.09454834692576597
55,10.0%,0.6,cnn,0.17271413871259203,0.07433735983089076
56,10.0%,0.6,dt,0.17034744953342942,0.10106264477111265
57,10.0%,0.6,lr,0.1654774233293107,0.07520542911415787
58,10.0%,0.6,rf,0.18286407891369863,0.09085795137545095
59,10.0%,0.6,svc,0.0805483018694937,0.04956678698022165
60,10.0%,0.65,cnn,0.16830969154525757,0.05693875361343044
61,10.0%,0.65,dt,0.1327774894361008,0.05611540265800065
62,10.0%,0.65,lr,0.15804664191162626,0.04926645657926659
63,10.0%,0.65,rf,0.1906564666121318,0.062062094293556164
64,10.0%,0.65,svc,0.047658776154505235,0.05665329160976339
65,100.0%,0.05,cnn,0.15348326431189693,0.10186236944669073
66,100.0%,0.05,dt,0.06292808784555574,0.027197062367774576
67,100.0%,0.05,lr,0.04484214085560586,0.034618367802658784
68,100.0%,0.05,rf,0.03021842358003317,0.028959927072458914
69,100.0%,0.05,svc,0.03976313025006169,0.013368792555085206
70,100.0%,0.1,cnn,0.2543017667272798,0.1333105714705294
71,100.0%,0.1,dt,0.07933575587109377,0.02027344607466432
72,100.0%,0.1,lr,0.06859277482360987,0.03997412169363921
73,100.0%,0.1,rf,0.06295959611524636,0.0563022784567994
74,100.0%,0.1,svc,0.06979520762379132,0.015616800051766286
75,100.0%,0.15,cnn,0.326337845234901,0.17685659930927228
76,100.0%,0.15,dt,0.1082547713060094,0.042459080664520484
77,100.0%,0.15,lr,0.10456748035737001,0.05733196989643774
78,100.0%,0.15,rf,0.0937094658674818,0.08643886134341403
79,100.0%,0.15,svc,0.12458427271760296,0.023158446495958492
80,100.0%,0.2,cnn,0.37513266486015395,0.18409211351802998
81,100.0%,0.2,dt,0.14107169844532183,0.07046165094144487
82,100.0%,0.2,lr,0.1510070888834824,0.10000005305770983
83,100.0%,0.2,rf,0.13848163185015752,0.12153661451240148
84,100.0%,0.2,svc,0.18660978713205434,0.01929390636443243
85,100.0%,0.25,cnn,0.42773162024557493,0.1860914511974889
86,100.0%,0.25,dt,0.18965438415465233,0.1054181300965092
87,100.0%,0.25,lr,0.17991286290563835,0.10268998092811538
88,100.0%,0.25,rf,0.16450967331459276,0.13332071456360892
89,100.0%,0.25,svc,0.2632199299010021,0.07472525073744361
90,100.0%,0.3,cnn,0.47228686329324915,0.18633789266591846
91,100.0%,0.3,dt,0.23144264538602205,0.1407232295630053
92,100.0%,0.3,lr,0.2287420020237734,0.13599747258809838
93,100.0%,0.3,rf,0.22226099234933178,0.18894505165114506
94,100.0%,0.3,svc,0.3559433089304733,0.10312907903773319
95,100.0%,0.35,cnn,0.52719275847876,0.189777691476398
96,100.0%,0.35,dt,0.2616010448685254,0.15317354159604346
97,100.0%,0.35,lr,0.2864245951181706,0.159177584044218
98,100.0%,0.35,rf,0.27194151888972723,0.20971734984727236
99,100.0%,0.35,svc,0.483904635695482,0.07089796318005229
100,100.0%,0.4,cnn,0.5773726053055729,0.18178831751842586
101,100.0%,0.4,dt,0.2993446104849871,0.18163767154246235
102,100.0%,0.4,lr,0.3367047793237743,0.17892310171455447
103,100.0%,0.4,rf,0.32233680260819025,0.22427900437789997
104,100.0%,0.4,svc,0.600761218218057,0.06730417361662366
105,100.0%,0.45,cnn,0.6115986085997657,0.1685231001977186
106,100.0%,0.45,dt,0.32191299795203554,0.19999461035491192
107,100.0%,0.45,lr,0.38202706755617444,0.17149687427153612
108,100.0%,0.45,rf,0.3829018111004035,0.21916349765008805
109,100.0%,0.45,svc,0.665357573238833,0.056657770117581184
110,100.0%,0.5,cnn,0.6698719093688685,0.16062085246662658
111,100.0%,0.5,dt,0.3626194700960889,0.19312006506760976
112,100.0%,0.5,lr,0.45667102179874947,0.18831780738147252
113,100.0%,0.5,rf,0.46059815280589195,0.24001197249216952
114,100.0%,0.5,svc,0.7621911007880977,0.03521423067155545
115,100.0%,0.55,cnn,0.7121557799108552,0.14073993518876587
116,100.0%,0.55,dt,0.47668913607364843,0.1930634732450962
117,100.0%,0.55,lr,0.5078589456781597,0.20458586545280985
118,100.0%,0.55,rf,0.5282238714627308,0.24611778096035494
119,100.0%,0.55,svc,0.7887924108783483,0.018160343774039796
120,100.0%,0.6,cnn,0.7597435117712805,0.11841147339940611
121,100.0%,0.6,dt,0.5319857032072774,0.1818452296997414
122,100.0%,0.6,lr,0.5580391590774568,0.21794215984106532
123,100.0%,0.6,rf,0.5839890190558289,0.2530503162890661
124,100.0%,0.6,svc,0.800893254394411,0.015073894833880183
125,100.0%,0.65,cnn,0.788279176122309,0.10177412949499082
126,100.0%,0.65,dt,0.5738637830894607,0.1767449647088117
127,100.0%,0.65,lr,0.6063667257686038,0.20373326505096126
128,100.0%,0.65,rf,0.6313763763432171,0.2358782680659752
129,100.0%,0.65,svc,0.8111097208122678,0.009442835130394466
130,20.0%,0.05,cnn,0.03956983898455655,0.06641818790902229
131,20.0%,0.05,dt,0.015962154790549122,0.02120134331829165
132,20.0%,0.05,lr,0.00749441182503447,0.008642793460170243
133,20.0%,0.05,rf,0.01659655451517619,0.02043801212291572
134,20.0%,0.05,svc,0.009238318731189016,0.005634514356573148
135,20.0%,0.1,cnn,0.0706651469185429,0.0689493708437845
136,20.0%,0.1,dt,0.019867561994143634,0.023430475630380233
137,20.0%,0.1,lr,0.019521954740241203,0.02070464445043181
138,20.0%,0.1,rf,0.026877410106505996,0.033874858810525675
139,20.0%,0.1,svc,0.02006863582403983,0.011014809500219287
140,20.0%,0.15,cnn,0.09435732863391062,0.09213894834079801
141,20.0%,0.15,dt,0.02767044305115045,0.032723698085450746
142,20.0%,0.15,lr,0.029482880565614204,0.030832808112944657
143,20.0%,0.15,rf,0.04414662840854661,0.05801742695969882
144,20.0%,0.15,svc,0.050829165988484644,0.03270139822461668
145,20.0%,0.2,cnn,0.09681170146459711,0.07216201539890635
146,20.0%,0.2,dt,0.05252423483011823,0.05302895461074892
147,20.0%,0.2,lr,0.05031323896333511,0.0542984018148229
148,20.0%,0.2,rf,0.06106669708434574,0.07610768843327319
149,20.0%,0.2,svc,0.06298301898656884,0.03235233774410281
150,20.0%,0.25,cnn,0.11905208876403768,0.08636703367590685
151,20.0%,0.25,dt,0.07553712605195326,0.0893313951113302
152,20.0%,0.25,lr,0.06593127059581315,0.05889901516619574
153,20.0%,0.25,rf,0.07909409983713968,0.08526225039435541
154,20.0%,0.25,svc,0.08072180883506622,0.06817810390901134
155,20.0%,0.3,cnn,0.13492589048543938,0.07197571819970296
156,20.0%,0.3,dt,0.08686961572167802,0.08461615876079447
157,20.0%,0.3,lr,0.0883050113381413,0.07679717921000587
158,20.0%,0.3,rf,0.10693000542871062,0.11495469173643237
159,20.0%,0.3,svc,0.16651603803841003,0.08965026384426249
160,20.0%,0.35,cnn,0.15912965313044233,0.09334532870103908
161,20.0%,0.35,dt,0.09600221117135319,0.09727672458186887
162,20.0%,0.35,lr,0.1203497862623604,0.09594185381800789
163,20.0%,0.35,rf,0.1347428140347757,0.1323314614994845
164,20.0%,0.35,svc,0.2568615865074679,0.0661317488980342
165,20.0%,0.4,cnn,0.19760954514207021,0.08265025912602533
166,20.0%,0.4,dt,0.12853370812296366,0.11589309253790005
167,20.0%,0.4,lr,0.14981500587714164,0.1008996203280576
168,20.0%,0.4,rf,0.17137675330832808,0.12920796661372697
169,20.0%,0.4,svc,0.2950192664824971,0.06987370431465958
170,20.0%,0.45,cnn,0.21866380302871505,0.08541323497914256
171,20.0%,0.45,dt,0.1359378199610206,0.1352716598664711
172,20.0%,0.45,lr,0.1792675380841458,0.10290407968755731
173,20.0%,0.45,rf,0.21045359700087873,0.13113128123950493
174,20.0%,0.45,svc,0.3680720124489396,0.08585456734168842
175,20.0%,0.5,cnn,0.2519920831555905,0.10455971159934625
176,20.0%,0.5,dt,0.1435930053809433,0.11441947234737161
177,20.0%,0.5,lr,0.23382821223509903,0.12707336343650819
178,20.0%,0.5,rf,0.2619699975799893,0.15195854711539777
179,20.0%,0.5,svc,0.4377938924344848,0.07338775676135964
180,20.0%,0.55,cnn,0.2818853509188929,0.09926802242931751
181,20.0%,0.55,dt,0.2652121763238805,0.160858674070223
182,20.0%,0.55,lr,0.27316722598692406,0.15124006274160412
183,20.0%,0.55,rf,0.31869073315751273,0.18148092039175118
184,20.0%,0.55,svc,0.35807027497180666,0.08957602267938809
185,20.0%,0.6,cnn,0.32077489690520716,0.09310174517066552
186,20.0%,0.6,dt,0.286736559700526,0.15429986012066696
187,20.0%,0.6,lr,0.303319535824674,0.15052431121103438
188,20.0%,0.6,rf,0.3398024466417604,0.17033875545607485
189,20.0%,0.6,svc,0.258653822876306,0.10169698392444021
190,20.0%,0.65,cnn,0.33308770526603937,0.06824366959350085
191,20.0%,0.65,dt,0.29725114412296366,0.14052796353575106
192,20.0%,0.65,lr,0.3059673525995511,0.12048903082882899
193,20.0%,0.65,rf,0.36050257744814534,0.14293611722255947
194,20.0%,0.65,svc,0.1226318761904932,0.09704596111877181
195,30.0%,0.05,cnn,0.0505785870501942,0.0733752562877377
196,30.0%,0.05,dt,0.021846784840776182,0.029680072258325474
197,30.0%,0.05,lr,0.011977393586975405,0.016328347227522456
198,30.0%,0.05,rf,0.016659060094889707,0.023562418917618722
199,30.0%,0.05,svc,0.015469950566925881,0.008590788532613842
200,30.0%,0.1,cnn,0.09841627784187833,0.08272495788930695
201,30.0%,0.1,dt,0.02606994482049161,0.026675588321869215
202,30.0%,0.1,lr,0.027990731225109148,0.025798042715850476
203,30.0%,0.1,rf,0.03658081251623678,0.04779222207758111
204,30.0%,0.1,svc,0.029085221810761577,0.010324681729189633
205,30.0%,0.15,cnn,0.1298856665638532,0.11754419532030547
206,30.0%,0.15,dt,0.04103974302402339,0.03434004596201258
207,30.0%,0.15,lr,0.043644118630148866,0.03867536737536369
208,30.0%,0.15,rf,0.06081664840577899,0.07117879539942967
209,30.0%,0.15,svc,0.0632606288765219,0.03116687680170665
210,30.0%,0.2,cnn,0.148200853026417,0.11990697267313076
211,30.0%,0.2,dt,0.06110699889838214,0.06343113389167909
212,30.0%,0.2,lr,0.06813009499610782,0.0701230045339054
213,30.0%,0.2,rf,0.08713949109781044,0.096041557245687
214,30.0%,0.2,svc,0.09550634581786796,0.019259837760023144
215,30.0%,0.25,cnn,0.17696532369229387,0.12509255549962112
216,30.0%,0.25,dt,0.10004448708224785,0.10575225343643775
217,30.0%,0.25,lr,0.08646212142226574,0.07344992790300212
218,30.0%,0.25,rf,0.10671878633123684,0.11293549308672159
219,30.0%,0.25,svc,0.11343487314899584,0.0939406525768167
220,30.0%,0.3,cnn,0.20346891102920903,0.10772677023189528
221,30.0%,0.3,dt,0.12338459942434611,0.13146142869156255
222,30.0%,0.3,lr,0.12221912415788126,0.10409190178335884
223,30.0%,0.3,rf,0.15041293638161962,0.15436456964678186
224,30.0%,0.3,svc,0.19129778557591118,0.09777191854531186
225,30.0%,0.35,cnn,0.23984845740877725,0.11957744740842823
226,30.0%,0.35,dt,0.15232491351461658,0.1386708235293912
227,30.0%,0.35,lr,0.16064887701272113,0.12605079216481357
228,30.0%,0.35,rf,0.18263959083712203,0.17776861018282705
229,30.0%,0.35,svc,0.3245256585085262,0.06432141633994846
230,30.0%,0.4,cnn,0.2633702666247784,0.12655432946291972
231,30.0%,0.4,dt,0.17025524490655475,0.15986257286909072
232,30.0%,0.4,lr,0.19834837558300827,0.1312223595242286
233,30.0%,0.4,rf,0.22481353308303104,0.18402562350571877
234,30.0%,0.4,svc,0.42018689023410866,0.05017400908542564
235,30.0%,0.45,cnn,0.30626822557019423,0.10851121002492532
236,30.0%,0.45,dt,0.1945985212855549,0.17915213910207722
237,30.0%,0.45,lr,0.23220445036765014,0.1351129010592614
238,30.0%,0.45,rf,0.2725730671099853,0.17556279508570696
239,30.0%,0.45,svc,0.4452623726896867,0.06408218985437453
240,30.0%,0.5,cnn,0.3524363174295837,0.121354669484269
241,30.0%,0.5,dt,0.1954296371387458,0.1599087281584762
242,30.0%,0.5,lr,0.2993116876000128,0.16355216039228912
243,30.0%,0.5,rf,0.3368537127804753,0.2000975286180813
244,30.0%,0.5,svc,0.5556902252354519,0.06487008358217304
245,30.0%,0.55,cnn,0.39500087324482647,0.10446911699710805
246,30.0%,0.55,dt,0.33153567776376885,0.18217336435751433
247,30.0%,0.55,lr,0.34723139932994385,0.18366489552025844
248,30.0%,0.55,rf,0.40708396549734016,0.223903044054784
249,30.0%,0.55,svc,0.5315548028784556,0.06216412553741393
250,30.0%,0.6,cnn,0.4325441672949778,0.10724905350139513
251,30.0%,0.6,dt,0.35930559719212796,0.16854455733650192
252,30.0%,0.6,lr,0.3929185946405422,0.19294342282576912
253,30.0%,0.6,rf,0.44509922677976643,0.22130213479424587
254,30.0%,0.6,svc,0.4796376998693844,0.06397826337937113
255,30.0%,0.65,cnn,0.4657702111085056,0.08861859629950074
256,30.0%,0.65,dt,0.4095828677328174,0.17126984300389725
257,30.0%,0.65,lr,0.42334778123249456,0.17777434349908994
258,30.0%,0.65,rf,0.48615928724088975,0.20580596635205922
259,30.0%,0.65,svc,0.3427569234424285,0.10323533067590812
260,40.0%,0.05,cnn,0.07012843016943078,0.07912553012954009
261,40.0%,0.05,dt,0.02506590729056738,0.030410546581062195
262,40.0%,0.05,lr,0.019062975258152155,0.019114719122675535
263,40.0%,0.05,rf,0.022008220184839743,0.021508425098185346
264,40.0%,0.05,svc,0.0177822130066397,0.009325290840051457
265,40.0%,0.1,cnn,0.13077679119689747,0.10341416258345756
266,40.0%,0.1,dt,0.028045533416231467,0.026661821935166776
267,40.0%,0.1,lr,0.03578445722046287,0.02979758228479631
268,40.0%,0.1,rf,0.04494620610975352,0.04986440698251745
269,40.0%,0.1,svc,0.03621401602165763,0.011039974834067198
270,40.0%,0.15,cnn,0.16599205465892225,0.13911102023081
271,40.0%,0.15,dt,0.04602152818460665,0.043512800945455836
272,40.0%,0.15,lr,0.05530129109924689,0.04532916011443351
273,40.0%,0.15,rf,0.070766965192182,0.08460758076859491
274,40.0%,0.15,svc,0.07296054083644057,0.032068174713438626
275,40.0%,0.2,cnn,0.19212426616505424,0.13553867419417567
276,40.0%,0.2,dt,0.06870801111781133,0.06522527630503061
277,40.0%,0.2,lr,0.08111686830161936,0.0801140350330134
278,40.0%,0.2,rf,0.10111020625786236,0.11337322346477699
279,40.0%,0.2,svc,0.12063671278708372,0.014941944382261206
280,40.0%,0.25,cnn,0.2239077319025719,0.14593166441459754
281,40.0%,0.25,dt,0.1123397091304623,0.11106770916241614
282,40.0%,0.25,lr,0.10392740185458949,0.0850611102422325
283,40.0%,0.25,rf,0.1214576954152083,0.12774735089021977
284,40.0%,0.25,svc,0.15884994052884666,0.09448756058663657
285,40.0%,0.3,cnn,0.2513076267262587,0.1387148095330939
286,40.0%,0.3,dt,0.14941586562185274,0.14336109495480034
287,40.0%,0.3,lr,0.14599810216626385,0.12041750854616948
288,40.0%,0.3,rf,0.17462627475839573,0.17919801709464825
289,40.0%,0.3,svc,0.21359447114521865,0.10586265889211266
290,40.0%,0.35,cnn,0.29632896601574277,0.15104949414977606
291,40.0%,0.35,dt,0.17516861326828082,0.15455960658176043
292,40.0%,0.35,lr,0.19089042432447972,0.14496502210514486
293,40.0%,0.35,rf,0.21737573491839737,0.20624350809082717
294,40.0%,0.35,svc,0.3498295759831,0.06886224162662268
295,40.0%,0.4,cnn,0.33926519196190635,0.14495430533433853
296,40.0%,0.4,dt,0.196282249347744,0.18372030749697604
297,40.0%,0.4,lr,0.23102662433436028,0.15481646297690163
298,40.0%,0.4,rf,0.26142294296793966,0.21287509375982888
299,40.0%,0.4,svc,0.4821241422109905,0.06848901894821825
300,40.0%,0.45,cnn,0.3807422479951861,0.13936114824078014
301,40.0%,0.45,dt,0.2240748249506003,0.20259916458977711
302,40.0%,0.45,lr,0.26974938515477687,0.15259617332728861
303,40.0%,0.45,rf,0.31386162510869003,0.2101245202379554
304,40.0%,0.45,svc,0.5370020468975638,0.07463224841175323
305,40.0%,0.5,cnn,0.4389890003342879,0.14020103452554492
306,40.0%,0.5,dt,0.24456208904999632,0.19547149589999263
307,40.0%,0.5,lr,0.342851601767256,0.18613021974384572
308,40.0%,0.5,rf,0.3884039062510156,0.22704905206103657
309,40.0%,0.5,svc,0.6258029022343216,0.04892247892241013
310,40.0%,0.55,cnn,0.4810607082085138,0.12500345232402518
311,40.0%,0.55,dt,0.3766466618015713,0.20045280606932567
312,40.0%,0.55,lr,0.39379894609621535,0.20455205276730934
313,40.0%,0.55,rf,0.45475774958569054,0.24499798619600746
314,40.0%,0.55,svc,0.6266328589760451,0.042285223171967076
315,40.0%,0.6,cnn,0.5275457943861874,0.10820685411612113
316,40.0%,0.6,dt,0.4270716969875935,0.18531796634364164
317,40.0%,0.6,lr,0.4453936107738439,0.21541207869445636
318,40.0%,0.6,rf,0.5076036355517383,0.2517787459538562
319,40.0%,0.6,svc,0.6119045863735185,0.0513630231863809
320,40.0%,0.65,cnn,0.5598817277065089,0.08450978810284344
321,40.0%,0.65,dt,0.4619656198743407,0.1850198023000618
322,40.0%,0.65,lr,0.48796264565361835,0.20599754027467135
323,40.0%,0.65,rf,0.5538408730021502,0.2382130617884059
324,40.0%,0.65,svc,0.5744546058464867,0.06462142522992137
325,50.0%,0.05,cnn,0.07796292197499183,0.08762393772150574
326,50.0%,0.05,dt,0.028646790905195264,0.03510774529332695
327,50.0%,0.05,lr,0.02145098517328992,0.0221896462303711
328,50.0%,0.05,rf,0.02408508173001021,0.023039522684359142
329,50.0%,0.05,svc,0.02138956279928059,0.010492133441542244
330,50.0%,0.1,cnn,0.14798799328589488,0.11451709473672902
331,50.0%,0.1,dt,0.030632906956843804,0.022103651680665706
332,50.0%,0.1,lr,0.04147395631186155,0.03238278382368928
333,50.0%,0.1,rf,0.047477090663431275,0.05704854084803719
334,50.0%,0.1,svc,0.04188483542251996,0.013082481880526345
335,50.0%,0.15,cnn,0.19889150234318925,0.1581147527070547
336,50.0%,0.15,dt,0.056382318341129965,0.04931763946437664
337,50.0%,0.15,lr,0.06313667347483823,0.04899478429163318
338,50.0%,0.15,rf,0.08599653847489634,0.09006011763090153
339,50.0%,0.15,svc,0.08546470915538805,0.0313867771398036
340,50.0%,0.2,cnn,0.23258996934303194,0.16875605589192574
341,50.0%,0.2,dt,0.07840534391876851,0.06281735988318399
342,50.0%,0.2,lr,0.09583078916844566,0.08447773916597692
343,50.0%,0.2,rf,0.11199952026038293,0.11822702955381183
344,50.0%,0.2,svc,0.1339034608141611,0.014097989584426951
345,50.0%,0.25,cnn,0.25629848602282146,0.16810063464576852
346,50.0%,0.25,dt,0.1209232064931948,0.11210357796634568
347,50.0%,0.25,lr,0.11764584870187228,0.08986602573524825
348,50.0%,0.25,rf,0.13118685679542255,0.13274164169228778
349,50.0%,0.25,svc,0.19597737596664622,0.07262442675956775
350,50.0%,0.3,cnn,0.2972026809253184,0.16805280323569954
351,50.0%,0.3,dt,0.16407426535035982,0.14733974748517298
352,50.0%,0.3,lr,0.16510538631092198,0.13427329053773596
353,50.0%,0.3,rf,0.19024647539195608,0.18928874800762008
354,50.0%,0.3,svc,0.25150658940131215,0.11797590437056799
355,50.0%,0.35,cnn,0.3485419018685466,0.174725839619707
356,50.0%,0.35,dt,0.18743600587649673,0.16759009387311197
357,50.0%,0.35,lr,0.21429627088256134,0.15393712611942045
358,50.0%,0.35,rf,0.23460345861810578,0.21610178196392774
359,50.0%,0.35,svc,0.3720707533468467,0.07384402216233547
360,50.0%,0.4,cnn,0.4004233202006699,0.17798606869275324
361,50.0%,0.4,dt,0.21707572479031143,0.1919654904021126
362,50.0%,0.4,lr,0.25927161339934457,0.16847121839717077
363,50.0%,0.4,rf,0.281737067202403,0.22840836528394473
