,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
38,10.0%,0.65,NNAR,0.20585681279999998,0.16735973668334447
39,100.0%,0.05,NAR,0.09655393533333331,0.09861289907856283
40,100.0%,0.05,NCAR,0.08436497529999998,0.10174145960714916
41,100.0%,0.05,NNAR,0.057769964166666674,0.08702280227520565
42,100.0%,0.1,NAR,0.14865430056666665,0.17715827431832695
43,100.0%,0.1,NCAR,0.1440407891,0.14457395136262977
44,100.0%,0.1,NNAR,0.15420722906666665,0.13289124859714332
45,100.0%,0.15,NAR,0.17062576349999997,0.19468807144558517
46,100.0%,0.15,NCAR,0.2016012488333333,0.19242671980189335
47,100.0%,0.15,NNAR,0.20794772713333334,0.16250335300543428
48,100.0%,0.2,NAR,0.24812545656666668,0.20063852648935604
49,100.0%,0.2,NCAR,0.23584385443333333,0.21447930852785502
50,100.0%,0.2,NNAR,0.25679871433333334,0.18716450588079622
51,100.0%,0.25,NAR,0.27084971583333334,0.21737732864880568
52,100.0%,0.25,NCAR,0.26490596176666664,0.22075767638839638
53,100.0%,0.25,NNAR,0.29542955626666667,0.21904558123636456
54,100.0%,0.3,NAR,0.30641836683333334,0.22962338775307392
55,100.0%,0.3,NCAR,0.2996366039666667,0.21778905542900528
56,100.0%,0.3,NNAR,0.34091493443333337,0.21214960078112768
57,100.0%,0.35,NAR,0.37637637166666665,0.19757227784999698
58,100.0%,0.35,NCAR,0.3431270347333334,0.21945684998853632
59,100.0%,0.35,NNAR,0.3686529308333333,0.2194201353572045
60,100.0%,0.4,NAR,0.4643218607666667,0.16004032374888535
61,100.0%,0.4,NCAR,0.3973510726666667,0.23042818713681057
62,100.0%,0.4,NNAR,0.4663572287,0.17085859519832097
63,100.0%,0.45,NAR,0.5425692208333334,0.14565415819369992
64,100.0%,0.45,NCAR,0.46477622919999995,0.22269949129338729
65,100.0%,0.45,NNAR,0.5366655089333333,0.1680657023909941
66,100.0%,0.5,NAR,0.6182115643333334,0.08307390755932698
67,100.0%,0.5,NCAR,0.5516748408000001,0.1961571610697883
68,100.0%,0.5,NNAR,0.6087764683666667,0.13088159216051182
69,100.0%,0.55,NAR,0.7024484409666666,0.057373729296635013
70,100.0%,0.55,NCAR,0.5868680207000001,0.19577234330691096
71,100.0%,0.55,NNAR,0.6667104642666667,0.0668233931169368
72,100.0%,0.6,NAR,0.7517901186000001,0.025453596031303892
73,100.0%,0.6,NCAR,0.6648347396333334,0.14208787419234067
74,100.0%,0.6,NNAR,0.6981315344333334,0.0619396221226489
75,100.0%,0.65,NAR,0.7848566898333335,0.023783999463118176
76,100.0%,0.65,NCAR,0.7168420288666666,0.08820366524296658
77,100.0%,0.65,NNAR,0.7646831511000001,0.02042908059029133
78,20.0%,0.05,NAR,0.02607147103333333,0.051206490221868746
79,20.0%,0.05,NCAR,0.022492454466666666,0.04392170203716165
80,20.0%,0.05,NNAR,0.0071812350666666655,0.07726206337563697
81,20.0%,0.1,NAR,0.02465200916666667,0.06441198619275472
82,20.0%,0.1,NCAR,0.03596585009999999,0.05141501552677807
83,20.0%,0.1,NNAR,0.02388882056666667,0.05504764639694942
84,20.0%,0.15,NAR,0.03948791353333333,0.05921957316433313
85,20.0%,0.15,NCAR,0.03767629736666666,0.04885110745012798
86,20.0%,0.15,NNAR,0.032864475,0.03873783920142826
87,20.0%,0.2,NAR,0.04787082973333333,0.03702981504986619
88,20.0%,0.2,NCAR,0.047074410733333336,0.04708914798247264
89,20.0%,0.2,NNAR,0.052327094633333335,0.04240428132758118
90,20.0%,0.25,NAR,0.05692378926666667,0.05355419298733318
91,20.0%,0.25,NCAR,0.0643859525,0.05403550838736678
92,20.0%,0.25,NNAR,0.05442087513333334,0.047927959144328666
93,20.0%,0.3,NAR,0.07574850266666666,0.04452499400492429
94,20.0%,0.3,NCAR,0.07201990666666667,0.04393376637353639
95,20.0%,0.3,NNAR,0.08348586940000001,0.04917468148625658
96,20.0%,0.35,NAR,0.11803985553333333,0.0477049430301541
97,20.0%,0.35,NCAR,0.09302642426666667,0.062488988645726974
98,20.0%,0.35,NNAR,0.09870297593333333,0.05681247754091415
99,20.0%,0.4,NAR,0.15999884476666662,0.06743389634506294
100,20.0%,0.4,NCAR,0.1354478485,0.0861675385041225
101,20.0%,0.4,NNAR,0.1855716285333333,0.09687833782467482
102,20.0%,0.45,NAR,0.24601070333333333,0.1503510441033468
103,20.0%,0.45,NCAR,0.17277622946666668,0.14209788281109584
104,20.0%,0.45,NNAR,0.2222939153,0.11308423693283998
105,20.0%,0.5,NAR,0.2727850831,0.12432835923772657
106,20.0%,0.5,NCAR,0.23891157253333337,0.18585328038983695
107,20.0%,0.5,NNAR,0.2446318329,0.1229271568250567
108,20.0%,0.55,NAR,0.3397489583,0.18420224246133235
109,20.0%,0.55,NCAR,0.22405540983333336,0.16259965892710568
110,20.0%,0.55,NNAR,0.2960888148,0.13346380980131164
111,20.0%,0.6,NAR,0.3722565651333333,0.17294026590944037
112,20.0%,0.6,NCAR,0.27862187996666665,0.1463245220870364
113,20.0%,0.6,NNAR,0.3128139035333333,0.13630351219681258
114,20.0%,0.65,NAR,0.3291837478333333,0.17364568103181316
115,20.0%,0.65,NCAR,0.29458397963333327,0.1516851867399821
116,20.0%,0.65,NNAR,0.3283447120333333,0.21210354271605156
117,30.0%,0.05,NAR,0.014664479,0.06667288701217744
118,30.0%,0.05,NCAR,0.03237952106666667,0.05241051577825041
119,30.0%,0.05,NNAR,0.012880718800000001,0.061853686177838256
120,30.0%,0.1,NAR,0.05204615420000001,0.06379708452727334
121,30.0%,0.1,NCAR,0.046717469033333334,0.058027639853672715
122,30.0%,0.1,NNAR,0.03777005813333333,0.03937660360357992
123,30.0%,0.15,NAR,0.050370864933333336,0.07380202927360696
124,30.0%,0.15,NCAR,0.06000328043333334,0.0585459651546149
125,30.0%,0.15,NNAR,0.044092142,0.05164815549747235
126,30.0%,0.2,NAR,0.06761742286666667,0.045837581954694166
127,30.0%,0.2,NCAR,0.0667285029,0.06829682749975947
128,30.0%,0.2,NNAR,0.07717957090000001,0.0642808790960193
129,30.0%,0.25,NAR,0.07875229373333334,0.07140955673702856
130,30.0%,0.25,NCAR,0.08440046656666668,0.0716832836815189
131,30.0%,0.25,NNAR,0.09066743120000001,0.07685610232050258
132,30.0%,0.3,NAR,0.11365823093333333,0.062068877403203555
133,30.0%,0.3,NCAR,0.11466862720000001,0.06291897579123655
134,30.0%,0.3,NNAR,0.11327689836666667,0.04917950193108936
135,30.0%,0.35,NAR,0.16366833143333334,0.044880804962344
136,30.0%,0.35,NCAR,0.12672019696666667,0.06774600705339473
137,30.0%,0.35,NNAR,0.14055583630000001,0.06083192308075542
138,30.0%,0.4,NAR,0.21614804076666663,0.06769563111841279
139,30.0%,0.4,NCAR,0.17834962390000003,0.0998791219051601
140,30.0%,0.4,NNAR,0.2407272949666667,0.09884872770164858
141,30.0%,0.45,NAR,0.2996523687666667,0.1426569309390141
142,30.0%,0.45,NCAR,0.21845920613333336,0.1418400537975741
143,30.0%,0.45,NNAR,0.29793520226666664,0.13469290708058507
144,30.0%,0.5,NAR,0.35614158686666664,0.12949360158992024
145,30.0%,0.5,NCAR,0.30532249603333333,0.18238678016193421
146,30.0%,0.5,NNAR,0.33923761813333336,0.13588231949296295
147,30.0%,0.55,NAR,0.426730411,0.18916411349464204
148,30.0%,0.55,NCAR,0.3321012338666666,0.1930025613919639
149,30.0%,0.55,NNAR,0.40547199893333336,0.13571056931677258
150,30.0%,0.6,NAR,0.47448018970000005,0.19434637571179506
151,30.0%,0.6,NCAR,0.39753009416666674,0.16621628676365297
152,30.0%,0.6,NNAR,0.4216022652,0.1393432461486619
153,30.0%,0.65,NAR,0.4619030575,0.2009124691340825
154,30.0%,0.65,NCAR,0.44498929223333344,0.15915379869195898
155,30.0%,0.65,NNAR,0.46021027416666666,0.18445163771741085
