,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
64,20.0%,0.35,NCAR,0.03463888888888889,0.02539316845817251
65,20.0%,0.35,NNAR,0.05259444444444445,0.026900125069224363
66,20.0%,0.4,NCAR,0.061000000000000006,0.025128496588178985
67,20.0%,0.4,NNAR,0.11458888888888889,0.059994486607850395
68,20.0%,0.45,NCAR,0.12037777777777779,0.04044738019781432
69,20.0%,0.45,NNAR,0.20974444444444443,0.10494926266690256
70,20.0%,0.5,NCAR,0.2800722222222222,0.14154751380870384
71,20.0%,0.5,NNAR,0.30054444444444445,0.17765588236474406
72,20.0%,0.55,NCAR,0.38768888888888886,0.2167730911811036
73,20.0%,0.55,NNAR,0.31615000000000004,0.16443617820878292
74,20.0%,0.6,NCAR,0.3301833333333334,0.16995272017526541
75,20.0%,0.6,NNAR,0.2726444444444444,0.12796004186984347
76,20.0%,0.65,NCAR,0.24631666666666668,0.10299294736390406
77,20.0%,0.65,NNAR,0.17145,0.05269764870248909
78,30.0%,0.05,NCAR,0.004972222222222222,0.009627956590407228
79,30.0%,0.05,NNAR,0.0061222222222222225,0.011721467463735674
80,30.0%,0.1,NCAR,0.009983333333333334,0.015765557183179076
81,30.0%,0.1,NNAR,0.009427777777777778,0.013799858535245913
82,30.0%,0.15,NCAR,0.014716666666666666,0.02149737544069017
83,30.0%,0.15,NNAR,0.015922222222222223,0.021375978674855647
84,30.0%,0.2,NCAR,0.0192,0.026958358121845966
85,30.0%,0.2,NNAR,0.021611111111111112,0.024166875360300984
86,30.0%,0.25,NCAR,0.02455,0.029735195368038512
87,30.0%,0.25,NNAR,0.026677777777777776,0.027417454693129024
88,30.0%,0.3,NCAR,0.03666111111111111,0.03413760584511965
89,30.0%,0.3,NNAR,0.04645555555555557,0.035806482079471465
90,30.0%,0.35,NCAR,0.048127777777777776,0.03660448892635
91,30.0%,0.35,NNAR,0.07007777777777778,0.03523147011769807
92,30.0%,0.4,NCAR,0.07678888888888888,0.03281929342787416
93,30.0%,0.4,NNAR,0.14185555555555554,0.06471148881462885
94,30.0%,0.45,NCAR,0.14480555555555555,0.033994757601465135
95,30.0%,0.45,NNAR,0.2540444444444444,0.10574052896675938
96,30.0%,0.5,NCAR,0.32248333333333334,0.13596846804195442
97,30.0%,0.5,NNAR,0.3763222222222222,0.19712851083175065
98,30.0%,0.55,NCAR,0.4776944444444444,0.2420334733122678
99,30.0%,0.55,NNAR,0.45117777777777773,0.21974937871936773
100,30.0%,0.6,NCAR,0.5075555555555555,0.26060600245667676
101,30.0%,0.6,NNAR,0.45635,0.21797412780204317
102,30.0%,0.65,NCAR,0.46215000000000006,0.2190906160580428
103,30.0%,0.65,NNAR,0.3867944444444445,0.1558612295408685
104,40.0%,0.05,NCAR,0.0064555555555555555,0.009991237625968683
105,40.0%,0.05,NNAR,0.006566666666666666,0.014946122981521695
106,40.0%,0.1,NCAR,0.012077777777777778,0.018448919532201572
107,40.0%,0.1,NNAR,0.01183888888888889,0.01702189319437019
108,40.0%,0.15,NCAR,0.01891111111111111,0.026823296988408556
109,40.0%,0.15,NNAR,0.021805555555555557,0.028481905894388187
