,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
44,100.0%,0.5,NCAR,0.8624590588939194,0.14496310863564374
45,100.0%,0.5,NNAR,0.8617269477794981,0.14970194179748325
46,100.0%,0.55,NCAR,0.8922774770155609,0.11274391838626417
47,100.0%,0.55,NNAR,0.8781248648722155,0.12917163116968144
48,100.0%,0.6,NCAR,0.90533362165923,0.10046578476146686
49,100.0%,0.6,NNAR,0.8862252306819515,0.12303802106468795
50,100.0%,0.65,NCAR,0.9116298000010002,0.09393243180868922
51,100.0%,0.65,NNAR,0.9036747439027696,0.10226536483011277
52,20.0%,0.05,NCAR,-0.03647064533671376,0.8277424148475849
53,20.0%,0.05,NNAR,0.14350259136240123,0.3042796164587174
54,20.0%,0.1,NCAR,0.049631461498592606,0.5761283575943931
55,20.0%,0.1,NNAR,0.13848790397594116,0.4406069123731894
56,20.0%,0.15,NCAR,0.06283387842762417,0.3907430745669409
57,20.0%,0.15,NNAR,0.19019185983100656,0.45584198073115983
58,20.0%,0.2,NCAR,0.09563174389434699,0.42461409493350827
59,20.0%,0.2,NNAR,0.2839137912494386,0.3032364753017737
60,20.0%,0.25,NCAR,0.18849828834649798,0.3184982723563774
61,20.0%,0.25,NNAR,0.31648197376558845,0.3021967475056865
62,20.0%,0.3,NCAR,0.2787056556171921,0.2727458587866945
63,20.0%,0.3,NNAR,0.39449110691978784,0.2738442401130635
64,20.0%,0.35,NCAR,0.3625109654792705,0.28707743098500665
65,20.0%,0.35,NNAR,0.4226814387345421,0.24240942974636734
66,20.0%,0.4,NCAR,0.46363022016413197,0.29447309386750015
67,20.0%,0.4,NNAR,0.438179771181083,0.20572610829933713
68,20.0%,0.45,NCAR,0.5302845138766907,0.2682650059503505
69,20.0%,0.45,NNAR,0.36637840000283745,0.14837783566194834
70,20.0%,0.5,NCAR,0.6300742946364933,0.18146495142112268
71,20.0%,0.5,NNAR,0.3516542722862917,0.11150937019762537
72,20.0%,0.55,NCAR,0.5984238201753126,0.13723609154892677
73,20.0%,0.55,NNAR,0.29348869848362125,0.08270877876250979
74,20.0%,0.6,NCAR,0.4867435603448081,0.12076795245117847
75,20.0%,0.6,NNAR,0.23702230353426956,0.07265696331041198
76,20.0%,0.65,NCAR,0.3148271567855106,0.07182532714691538
77,20.0%,0.65,NNAR,0.19937293303166076,0.05509671150436512
78,30.0%,0.05,NCAR,0.008189286497596267,0.6050661936090534
79,30.0%,0.05,NNAR,0.19546240667802853,0.30465534073622796
80,30.0%,0.1,NCAR,0.04140929548213071,0.5116503027934636
81,30.0%,0.1,NNAR,0.20411363698912452,0.32976216066148734
82,30.0%,0.15,NCAR,0.11672297836189931,0.43019850328717696
83,30.0%,0.15,NNAR,0.2398234974791292,0.3943961038569807
84,30.0%,0.2,NCAR,0.17279139558649723,0.32685324379777797
85,30.0%,0.2,NNAR,0.3653499186392098,0.3315247074845534
86,30.0%,0.25,NCAR,0.26688349937428496,0.3156975118095472
87,30.0%,0.25,NNAR,0.4238861100525325,0.3184561357893629
88,30.0%,0.3,NCAR,0.3701743055094802,0.29799677758502796
89,30.0%,0.3,NNAR,0.4794111297824972,0.3112006049081625
90,30.0%,0.35,NCAR,0.44927451660823053,0.2834832894300206
91,30.0%,0.35,NNAR,0.5494875241339351,0.26854369259604866
92,30.0%,0.4,NCAR,0.5449159161280551,0.29873821039884413
93,30.0%,0.4,NNAR,0.5934330700182974,0.23579446249344985
94,30.0%,0.45,NCAR,0.6345497599747073,0.24840094318945694
95,30.0%,0.45,NNAR,0.5557033653095214,0.18154075512692927
96,30.0%,0.5,NCAR,0.7374250877580556,0.1824191087249021
97,30.0%,0.5,NNAR,0.5451718848210576,0.14539943707944109
98,30.0%,0.55,NCAR,0.7510264052064523,0.1461298615631509
99,30.0%,0.55,NNAR,0.4943559628914646,0.12391150106790272
100,30.0%,0.6,NCAR,0.7089512542254479,0.12999618075796404
101,30.0%,0.6,NNAR,0.43442983193165785,0.10460156871649552
102,30.0%,0.65,NCAR,0.6279221395686779,0.10986524330051535
103,30.0%,0.65,NNAR,0.38654618906245053,0.08056894688732424
104,40.0%,0.05,NCAR,0.03467034186879067,0.4962400831196836
105,40.0%,0.05,NNAR,0.22761030609125785,0.34262404162839954
106,40.0%,0.1,NCAR,0.10203803960651728,0.3837685718371058
107,40.0%,0.1,NNAR,0.2548142199290564,0.35107058185918405
108,40.0%,0.15,NCAR,0.14808925114146,0.36513668963221335
109,40.0%,0.15,NNAR,0.2986623978151082,0.38368277746790247
110,40.0%,0.2,NCAR,0.22964262634622915,0.29009472383005763
111,40.0%,0.2,NNAR,0.4222531685501009,0.3432851184209001
112,40.0%,0.25,NCAR,0.32932977309559536,0.31757262685271476
113,40.0%,0.25,NNAR,0.4800038384805297,0.34034378448368086
114,40.0%,0.3,NCAR,0.41834802135917953,0.30952795424455276
115,40.0%,0.3,NNAR,0.5467609837726544,0.3227280515281994
116,40.0%,0.35,NCAR,0.5002438350342797,0.28914251160995347
117,40.0%,0.35,NNAR,0.621512379917911,0.28314089204549225
118,40.0%,0.4,NCAR,0.606901229717261,0.28738233859410234
119,40.0%,0.4,NNAR,0.6750114208595807,0.24512523585292914
120,40.0%,0.45,NCAR,0.687444370704527,0.2277914372229456
121,40.0%,0.45,NNAR,0.6836904012102037,0.19778925912019932
122,40.0%,0.5,NCAR,0.7824070987822651,0.17274166376378977
123,40.0%,0.5,NNAR,0.7032938358025675,0.16017868092890108
124,40.0%,0.55,NCAR,0.8138239682713082,0.14166749681968774
