,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
42,100.0%,0.1,NAR,0.009143999999999937,0.006155076219293003
43,100.0%,0.1,NCAR,0.011639999999999958,0.005351215768783926
44,100.0%,0.1,NNAR,0.028633999999999948,0.01918674723312306
45,100.0%,0.15,NAR,0.018829999999999947,0.010407674758443926
46,100.0%,0.15,NCAR,0.01258399999999995,0.0050662694079850875
47,100.0%,0.15,NNAR,0.04767799999999995,0.033082255494017165
48,100.0%,0.2,NAR,0.02250799999999997,0.010839964605710727
49,100.0%,0.2,NCAR,0.020077999999999957,0.012273171171797662
50,100.0%,0.2,NNAR,0.07140599999999997,0.03678070373642868
51,100.0%,0.25,NAR,0.03033999999999994,0.013246763177994746
52,100.0%,0.25,NCAR,0.02436999999999996,0.014965978424549522
53,100.0%,0.25,NNAR,0.10052199999999996,0.040557398429225455
54,100.0%,0.3,NAR,0.03739999999999995,0.01675361672801989
55,100.0%,0.3,NCAR,0.03836399999999995,0.034330195907107904
56,100.0%,0.3,NNAR,0.14391199999999996,0.038446191605666126
57,100.0%,0.35,NAR,0.06075199999999996,0.03391629696768206
58,100.0%,0.35,NCAR,0.05094199999999996,0.04939613341060581
59,100.0%,0.35,NNAR,0.1957079999999999,0.048634466824108456
60,100.0%,0.4,NAR,0.08791799999999997,0.04945737265771486
61,100.0%,0.4,NCAR,0.08170399999999994,0.10457798761631223
62,100.0%,0.4,NNAR,0.254094,0.054480306908242786
63,100.0%,0.45,NAR,0.12598399999999996,0.06754778613873957
64,100.0%,0.45,NCAR,0.11473999999999995,0.1659522085125838
65,100.0%,0.45,NNAR,0.2782759999999999,0.05216529286404743
66,100.0%,0.5,NAR,0.20642999999999995,0.13262062395404112
67,100.0%,0.5,NCAR,0.17254199999999997,0.25771911469185016
68,100.0%,0.5,NNAR,0.36258399999999996,0.06899063929406714
69,100.0%,0.55,NAR,0.32271599999999995,0.12979794401063433
70,100.0%,0.55,NCAR,0.18229599999999993,0.25905139349841255
71,100.0%,0.55,NNAR,0.40712,0.08614255389664703
72,100.0%,0.6,NAR,0.40576,0.11640508089058166
73,100.0%,0.6,NCAR,0.20441399999999996,0.2666911880808963
74,100.0%,0.6,NNAR,0.48075599999999996,0.06794777454270393
75,100.0%,0.65,NAR,0.49724,0.10380991459078917
76,100.0%,0.65,NCAR,0.22091399999999997,0.25664492664268385
77,100.0%,0.65,NNAR,0.5349860000000001,0.07140457314000359
78,20.0%,0.05,NAR,0.0006079999999999958,0.0017890642862703502
79,20.0%,0.05,NCAR,0.0008599999999999722,0.0022990681342044145
80,20.0%,0.05,NNAR,0.006427999999999967,0.005482887664621353
81,20.0%,0.1,NAR,0.001633999999999982,0.0032456319154537576
82,20.0%,0.1,NCAR,0.002645999999999968,0.003123525611372149
83,20.0%,0.1,NNAR,0.010511999999999952,0.007440996202780628
84,20.0%,0.15,NAR,0.006777999999999966,0.006684044052664437
85,20.0%,0.15,NCAR,0.00112199999999998,0.002634255500291523
86,20.0%,0.15,NNAR,0.018803999999999953,0.01339664837767649
87,20.0%,0.2,NAR,0.004075999999999976,0.00417013482873106
88,20.0%,0.2,NCAR,0.006511999999999971,0.00781836247795755
89,20.0%,0.2,NNAR,0.028073999999999953,0.010160062067944743
90,20.0%,0.25,NAR,0.007515999999999954,0.005705613419238617
91,20.0%,0.25,NCAR,0.0034999999999999714,0.0040320653541836326
92,20.0%,0.25,NNAR,0.045097999999999944,0.012221735238700676
93,20.0%,0.3,NAR,0.010721999999999945,0.006026922252421616
94,20.0%,0.3,NCAR,0.01485999999999994,0.021934373359954403
95,20.0%,0.3,NNAR,0.06317199999999996,0.010085087799239407
96,20.0%,0.35,NAR,0.025425999999999952,0.024244484413775344
97,20.0%,0.35,NCAR,0.016993999999999954,0.023551926217858035
98,20.0%,0.35,NNAR,0.09317599999999994,0.01917172194793623
99,20.0%,0.4,NAR,0.03750199999999998,0.024228979865155743
100,20.0%,0.4,NCAR,0.03735399999999996,0.05954681303694719
101,20.0%,0.4,NNAR,0.11842999999999997,0.02144246454385048
102,20.0%,0.45,NAR,0.06503399999999995,0.03929362834571821
103,20.0%,0.45,NCAR,0.06226199999999997,0.11431772924795246
104,20.0%,0.45,NNAR,0.12804599999999997,0.019633771509148967
105,20.0%,0.5,NAR,0.12239199999999997,0.09191519125625248
106,20.0%,0.5,NCAR,0.09253599999999994,0.16175747247667052
107,20.0%,0.5,NNAR,0.16405399999999998,0.03045853796054364
108,20.0%,0.55,NAR,0.204208,0.07408074700994192
109,20.0%,0.55,NCAR,0.06833599999999995,0.10514067303632127
110,20.0%,0.55,NNAR,0.17730999999999997,0.02933727342894866
111,20.0%,0.6,NAR,0.235278,0.030208204656540397
112,20.0%,0.6,NCAR,0.04828599999999996,0.04576549368514339
113,20.0%,0.6,NNAR,0.202006,0.02633642166510949
114,20.0%,0.65,NAR,0.24617399999999992,0.04347010612513629
115,20.0%,0.65,NCAR,0.04226999999999997,0.030947145527924394
116,20.0%,0.65,NNAR,0.192492,0.06527376208191567
117,30.0%,0.05,NAR,0.000477999999999998,0.002468519344688604
118,30.0%,0.05,NCAR,0.0012379999999999744,0.00214237042091418
119,30.0%,0.05,NNAR,0.008751999999999965,0.005996980192444466
120,30.0%,0.1,NAR,0.002051999999999978,0.003338351053304876
121,30.0%,0.1,NCAR,0.003623999999999952,0.0030595824711811543
122,30.0%,0.1,NNAR,0.014793999999999944,0.009074260750235538
123,30.0%,0.15,NAR,0.008363999999999965,0.0070307127980724264
124,30.0%,0.15,NCAR,0.00289999999999997,0.0029735569300631155
125,30.0%,0.15,NNAR,0.02524799999999995,0.017298722850109416
126,30.0%,0.2,NAR,0.007459999999999956,0.005848844295400296
127,30.0%,0.2,NCAR,0.0075899999999999605,0.008570267778542185
128,30.0%,0.2,NNAR,0.03990399999999995,0.01751315493902704
129,30.0%,0.25,NAR,0.01038599999999995,0.00607554515904471
130,30.0%,0.25,NCAR,0.00551799999999998,0.005262058648902498
131,30.0%,0.25,NNAR,0.061965999999999945,0.01813295128899264
132,30.0%,0.3,NAR,0.014745999999999947,0.008062921180266098
133,30.0%,0.3,NCAR,0.01685799999999995,0.022899577484739583
134,30.0%,0.3,NNAR,0.08863199999999999,0.012574211380310684
135,30.0%,0.35,NAR,0.03218999999999995,0.024254427325706106
136,30.0%,0.35,NCAR,0.026925999999999957,0.0365087622135748
137,30.0%,0.35,NNAR,0.12689199999999995,0.0167030467708311
138,30.0%,0.4,NAR,0.05307399999999996,0.03894258887864838
139,30.0%,0.4,NCAR,0.04802599999999994,0.07713902056597266
140,30.0%,0.4,NNAR,0.163298,0.02818278161558643
141,30.0%,0.45,NAR,0.08038199999999994,0.048221100851670105
142,30.0%,0.45,NCAR,0.07233599999999996,0.12412478540170942
143,30.0%,0.45,NNAR,0.17679799999999996,0.023002187030003587
144,30.0%,0.5,NAR,0.14913599999999996,0.10743769102629314
145,30.0%,0.5,NCAR,0.11862199999999996,0.20574895768327747
146,30.0%,0.5,NNAR,0.22853599999999993,0.03611695152909646
147,30.0%,0.55,NAR,0.24716599999999997,0.09771615622687531
148,30.0%,0.55,NCAR,0.11169199999999996,0.17633076622747193
149,30.0%,0.55,NNAR,0.25858799999999993,0.040795246021554814
150,30.0%,0.6,NAR,0.30657799999999996,0.07039390421776881
151,30.0%,0.6,NCAR,0.11016599999999994,0.14741445061112426
152,30.0%,0.6,NNAR,0.2923259999999999,0.03410475943803932
153,30.0%,0.65,NAR,0.35912199999999994,0.03552383672282886
154,30.0%,0.65,NCAR,0.09777399999999997,0.08939514850096847
155,30.0%,0.65,NNAR,0.303858,0.060202203803989954
156,40.0%,0.05,NAR,0.0012519999999999903,0.0020484180058109465
157,40.0%,0.05,NCAR,0.0018439999999999637,0.0027451002732512184
158,40.0%,0.05,NNAR,0.01039399999999996,0.006273768193592961
159,40.0%,0.1,NAR,0.00358399999999997,0.0038097276135959854
160,40.0%,0.1,NCAR,0.004267999999999964,0.003581667608411294
161,40.0%,0.1,NNAR,0.017675999999999966,0.012131600833175738
162,40.0%,0.15,NAR,0.010015999999999959,0.007543949055165894
163,40.0%,0.15,NCAR,0.003285999999999976,0.0038281454986956115
164,40.0%,0.15,NNAR,0.030743999999999945,0.020991749205196714
165,40.0%,0.2,NAR,0.010773999999999968,0.007879262629956993
166,40.0%,0.2,NCAR,0.009035999999999962,0.009918417418198967
167,40.0%,0.2,NNAR,0.04671799999999997,0.021016627916475853
168,40.0%,0.25,NAR,0.012967999999999938,0.006675218868230104
169,40.0%,0.25,NCAR,0.010331999999999975,0.01161648090307165
170,40.0%,0.25,NNAR,0.07192999999999992,0.021504790638556884
171,40.0%,0.3,NAR,0.018389999999999945,0.009261732768631967
172,40.0%,0.3,NCAR,0.019305999999999945,0.024621812214674493
173,40.0%,0.3,NNAR,0.10402199999999999,0.016559001374799508
174,40.0%,0.35,NAR,0.036643999999999954,0.025038673434248454
175,40.0%,0.35,NCAR,0.03007199999999996,0.03806061781647046
176,40.0%,0.35,NNAR,0.14803999999999995,0.020761099809646927
177,40.0%,0.4,NAR,0.059793999999999965,0.04022023762095041
178,40.0%,0.4,NCAR,0.05808599999999996,0.09187654096444771
179,40.0%,0.4,NNAR,0.19391799999999995,0.03170464261374516
180,40.0%,0.45,NAR,0.09447999999999995,0.059997693833230975
181,40.0%,0.45,NCAR,0.08823399999999997,0.14973058200566478
182,40.0%,0.45,NNAR,0.21081399999999995,0.027669153310102557
183,40.0%,0.5,NAR,0.16679199999999997,0.11963403181096481
184,40.0%,0.5,NCAR,0.13147599999999998,0.2214729923738342
185,40.0%,0.5,NNAR,0.27964,0.04021270486616215
186,40.0%,0.55,NAR,0.27046,0.10789377807333829
187,40.0%,0.55,NCAR,0.13453599999999993,0.21255328336534293
188,40.0%,0.55,NNAR,0.314662,0.05252497128188901
189,40.0%,0.6,NAR,0.341726,0.09025369416375201
190,40.0%,0.6,NCAR,0.14959999999999996,0.2103776507102581
191,40.0%,0.6,NNAR,0.36758599999999997,0.03152217884575359
192,40.0%,0.65,NAR,0.417648,0.0771131933442981
193,40.0%,0.65,NCAR,0.14712799999999995,0.17058547685628375
194,40.0%,0.65,NNAR,0.40768399999999994,0.03320019277052469
195,50.0%,0.05,NAR,0.001591999999999978,0.0023689177758147747
196,50.0%,0.05,NCAR,0.0016879999999999623,0.0020365677408977047
197,50.0%,0.05,NNAR,0.012003999999999954,0.007134393843221988
198,50.0%,0.1,NAR,0.00413799999999997,0.004003513253049975
199,50.0%,0.1,NCAR,0.004815999999999966,0.003270920734132741
200,50.0%,0.1,NNAR,0.01970399999999994,0.013762355636047966
201,50.0%,0.15,NAR,0.011491999999999952,0.007779744500290217
202,50.0%,0.15,NCAR,0.004823999999999972,0.004292354855330754
203,50.0%,0.15,NNAR,0.035839999999999955,0.024224864945601922
204,50.0%,0.2,NAR,0.013077999999999965,0.008285130274984781
205,50.0%,0.2,NCAR,0.010679999999999957,0.010332078045325335
206,50.0%,0.2,NNAR,0.053127999999999974,0.027323541767016197
207,50.0%,0.25,NAR,0.017659999999999964,0.008095022406090165
208,50.0%,0.25,NCAR,0.01195999999999997,0.012322850849589338
209,50.0%,0.25,NNAR,0.07829799999999995,0.025838497539563743
210,50.0%,0.3,NAR,0.020771999999999947,0.009948952154854898
211,50.0%,0.3,NCAR,0.02472999999999994,0.031135177624582226
212,50.0%,0.3,NNAR,0.11600399999999998,0.022888825898687067
213,50.0%,0.35,NAR,0.04096599999999994,0.02680495392837005
214,50.0%,0.35,NCAR,0.03277999999999996,0.04032187333678528
215,50.0%,0.35,NNAR,0.16200799999999999,0.027315158683001488
216,50.0%,0.4,NAR,0.06513599999999997,0.041576061401155516
217,50.0%,0.4,NCAR,0.06136399999999995,0.09349957930714047
218,50.0%,0.4,NNAR,0.21439,0.03561977351564889
219,50.0%,0.45,NAR,0.10030399999999995,0.06034236661056031
220,50.0%,0.45,NCAR,0.09274799999999994,0.1542857437037009
221,50.0%,0.45,NNAR,0.23637999999999995,0.034408352094768384
222,50.0%,0.5,NAR,0.17795199999999994,0.12622371011786324
223,50.0%,0.5,NCAR,0.14744599999999997,0.24558458471365746
224,50.0%,0.5,NNAR,0.30907199999999996,0.04416816676184376
225,50.0%,0.55,NAR,0.289444,0.12246599887982239
226,50.0%,0.55,NCAR,0.14946199999999996,0.23377031103724227
227,50.0%,0.55,NNAR,0.35192999999999997,0.06396663750960897
228,50.0%,0.6,NAR,0.36371599999999993,0.10333805304999347
