,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
66,100.0%,0.5,NAR,0.5493993195916552,0.17414315365866664
67,100.0%,0.5,NCAR,0.3639164918857823,0.2509904109128371
68,100.0%,0.5,NNAR,0.7138551814371804,0.07205399338315424
69,100.0%,0.55,NAR,0.6801688446076777,0.08678300375326192
70,100.0%,0.55,NCAR,0.3921216818919977,0.24504943256251976
71,100.0%,0.55,NNAR,0.73594155990257,0.06850647239913248
72,100.0%,0.6,NAR,0.7329103701961012,0.07543819468255582
73,100.0%,0.6,NCAR,0.43821432398679727,0.23545936917953353
74,100.0%,0.6,NNAR,0.7696656943208544,0.05632011422926075
75,100.0%,0.65,NAR,0.7739445982809103,0.05826564237494236
76,100.0%,0.65,NCAR,0.4847105535479968,0.2131544116103722
77,100.0%,0.65,NNAR,0.7879423174526083,0.05376912751695252
78,20.0%,0.05,NAR,0.004060086823878374,0.014089358609211088
79,20.0%,0.05,NCAR,0.005122344973795815,0.019583235960787364
80,20.0%,0.05,NNAR,0.04413433551022902,0.04408821296803014
81,20.0%,0.1,NAR,0.01319953265733653,0.026290910002325897
82,20.0%,0.1,NCAR,0.01619548739456742,0.021531186866071476
83,20.0%,0.1,NNAR,0.06480540569818018,0.04978577690832613
84,20.0%,0.15,NAR,0.040591003576206326,0.03853853669008159
85,20.0%,0.15,NCAR,0.008328983288367973,0.01967509739374203
86,20.0%,0.15,NNAR,0.09897188112404962,0.06673191445052715
87,20.0%,0.2,NAR,0.02716280334637349,0.03243170437242455
88,20.0%,0.2,NCAR,0.036480264150776195,0.04102611426135238
89,20.0%,0.2,NNAR,0.13057626730022937,0.04453993522174952
90,20.0%,0.25,NAR,0.04638750536481891,0.04182281922807877
91,20.0%,0.25,NCAR,0.02157742098353849,0.02386492006301548
92,20.0%,0.25,NNAR,0.18423691010204862,0.03564567917103776
93,20.0%,0.3,NAR,0.061935843029971356,0.04048598024872398
94,20.0%,0.3,NCAR,0.06672744450557146,0.080005337062453
95,20.0%,0.3,NNAR,0.22146464907188476,0.03664842431040218
96,20.0%,0.35,NAR,0.11554254873950709,0.08455425620146925
97,20.0%,0.35,NCAR,0.06895779269001719,0.07123485499758353
98,20.0%,0.35,NNAR,0.2757512892343154,0.04891297389026075
99,20.0%,0.4,NAR,0.1564773990159185,0.07301052516463992
100,20.0%,0.4,NCAR,0.11020612077748952,0.12127532022166497
101,20.0%,0.4,NNAR,0.29872904756639235,0.03666372332884815
102,20.0%,0.45,NAR,0.2308370683452587,0.08647576887331614
103,20.0%,0.45,NCAR,0.1320532119218198,0.17531539344449376
104,20.0%,0.45,NNAR,0.3045465820471413,0.03544947746636481
105,20.0%,0.5,NAR,0.31678729595637783,0.1346194327141861
106,20.0%,0.5,NCAR,0.15600389262782768,0.1737876861525154
107,20.0%,0.5,NNAR,0.32471512588745866,0.04260718236446193
108,20.0%,0.55,NAR,0.4337805835206043,0.040688613592607566
109,20.0%,0.55,NCAR,0.1376397803470712,0.10721230756321883
110,20.0%,0.55,NNAR,0.32679509294773473,0.05951321184169709
111,20.0%,0.6,NAR,0.4375396340223777,0.053051066536325915
112,20.0%,0.6,NCAR,0.14009357178588117,0.07662924575417258
113,20.0%,0.6,NNAR,0.32793915136082524,0.05865764750736213
114,20.0%,0.65,NAR,0.39815088967029366,0.10016300093336629
115,20.0%,0.65,NCAR,0.15974317582772085,0.10033754412113728
116,20.0%,0.65,NNAR,0.29377032787830104,0.11338783847765536
117,30.0%,0.05,NAR,0.0028462455998216744,0.02078185246739606
118,30.0%,0.05,NCAR,0.009433046887964723,0.01890702386938375
119,30.0%,0.05,NNAR,0.05763977319607043,0.047137664783557576
120,30.0%,0.1,NAR,0.016221201834295356,0.02746498046329859
121,30.0%,0.1,NCAR,0.023607200648352242,0.02216331435620805
122,30.0%,0.1,NNAR,0.09105739044603889,0.062448447512759256
123,30.0%,0.15,NAR,0.04996346896273109,0.040200832988743024
124,30.0%,0.15,NCAR,0.0201558141568736,0.02168260147439169
125,30.0%,0.15,NNAR,0.13306880018059114,0.08635837218271478
126,30.0%,0.2,NAR,0.04695910920786399,0.03887064642233624
127,30.0%,0.2,NCAR,0.043679449576709196,0.04231627992918735
128,30.0%,0.2,NNAR,0.185411711517378,0.07556614215219112
129,30.0%,0.25,NAR,0.06362311908207947,0.04616043066797247
130,30.0%,0.25,NCAR,0.033598973739589706,0.030115578648802314
131,30.0%,0.25,NNAR,0.25295326218455494,0.05442543366727759
132,30.0%,0.3,NAR,0.08657052125525964,0.05668537900871975
133,30.0%,0.3,NCAR,0.07811793825359035,0.08251539721749361
134,30.0%,0.3,NNAR,0.3097815544325304,0.03897449268952673
135,30.0%,0.35,NAR,0.15058428431992474,0.08645069661122634
136,30.0%,0.35,NCAR,0.10991070902218152,0.11071862047834204
137,30.0%,0.35,NNAR,0.3754975050269517,0.038144240549553766
138,30.0%,0.4,NAR,0.2152800348526696,0.11058240500519324
139,30.0%,0.4,NCAR,0.1391764286660608,0.15875707295912211
140,30.0%,0.4,NNAR,0.41172812274015824,0.04690823087995394
141,30.0%,0.45,NAR,0.2841581023261171,0.10262924734825513
142,30.0%,0.45,NCAR,0.16594052377862692,0.187302635577002
143,30.0%,0.45,NNAR,0.42044535610909867,0.03803741366155621
144,30.0%,0.5,NAR,0.38880881486904884,0.15339241431840422
145,30.0%,0.5,NCAR,0.202595078825524,0.21978685500213102
146,30.0%,0.5,NNAR,0.4524290544159889,0.04279677801537188
147,30.0%,0.55,NAR,0.5210181227580715,0.05294311948742568
148,30.0%,0.55,NCAR,0.21378173927766198,0.17886742504876413
149,30.0%,0.55,NNAR,0.4726441691928675,0.052232101325118796
150,30.0%,0.6,NAR,0.5591171129913644,0.043218538568238846
151,30.0%,0.6,NCAR,0.23437406367158872,0.13648859889973908
152,30.0%,0.6,NNAR,0.47221199480312614,0.06508800512038537
153,30.0%,0.65,NAR,0.5686264061746558,0.062151824710527576
154,30.0%,0.65,NCAR,0.24899551915993778,0.08657404439207987
155,30.0%,0.65,NNAR,0.45894831711968787,0.12037838829212098
156,40.0%,0.05,NAR,0.009408487450735765,0.015565099854101285
157,40.0%,0.05,NCAR,0.013669864939388208,0.02677484819878702
158,40.0%,0.05,NNAR,0.06935029515565388,0.05248589396078602
159,40.0%,0.1,NAR,0.028434550418815305,0.034847370932848426
160,40.0%,0.1,NCAR,0.0276002214065818,0.02595714248462347
161,40.0%,0.1,NNAR,0.1094254305536047,0.08298698598044728
162,40.0%,0.15,NAR,0.06177089662757952,0.04581633701818283
163,40.0%,0.15,NCAR,0.022966117430872374,0.02664628968998361
164,40.0%,0.15,NNAR,0.16188841392438713,0.10495324091574434
165,40.0%,0.2,NAR,0.06789860921181384,0.051694307135023106
166,40.0%,0.2,NCAR,0.05262585890611384,0.050018680941177764
167,40.0%,0.2,NNAR,0.2176931706597309,0.09248450576091789
168,40.0%,0.25,NAR,0.07951790222858737,0.0521429790561069
169,40.0%,0.25,NCAR,0.0588686986486067,0.05664777597026346
170,40.0%,0.25,NNAR,0.2939028864218131,0.06772069096295635
171,40.0%,0.3,NAR,0.10742601346184077,0.06585880086114759
172,40.0%,0.3,NCAR,0.09003450139485641,0.0886483296592672
173,40.0%,0.3,NNAR,0.3635048893940966,0.05179656035103885
174,40.0%,0.35,NAR,0.1734205083668246,0.0917939742078854
175,40.0%,0.35,NCAR,0.12605181057469342,0.1135406975586123
176,40.0%,0.35,NNAR,0.43828366976448235,0.05042052958484715
