,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
66,20.0%,0.4,NCAR,0.32728142642222224,0.1460928943689806
67,20.0%,0.4,NNAR,0.42579635728888887,0.21968950968127807
68,20.0%,0.45,NCAR,0.4516217321055555,0.21942113492124882
69,20.0%,0.45,NNAR,0.49423800252222216,0.24437105310704924
70,20.0%,0.5,NCAR,0.5512294349166666,0.2771393542538297
71,20.0%,0.5,NNAR,0.48772983709999995,0.24475542072102
72,20.0%,0.55,NCAR,0.5208128091666666,0.250213927606322
73,20.0%,0.55,NNAR,0.4171033997666667,0.18422682743867608
74,20.0%,0.6,NCAR,0.40324917241666675,0.16774687409370945
75,20.0%,0.6,NNAR,0.3307650837166667,0.12367485608183597
76,20.0%,0.65,NCAR,0.29028138403888887,0.09212523099916789
77,20.0%,0.65,NNAR,0.20759713789999998,0.048196073331068894
78,30.0%,0.05,NCAR,0.05214207334444444,0.11783132715232379
79,30.0%,0.05,NNAR,0.06453656481666666,0.1408142824736492
80,30.0%,0.1,NCAR,0.07737848295555555,0.12619871687571838
81,30.0%,0.1,NNAR,0.07533399299444446,0.12516368282770604
82,30.0%,0.15,NCAR,0.09508485314444444,0.13921099861638384
83,30.0%,0.15,NNAR,0.09115451376666665,0.15304327732236536
84,30.0%,0.2,NCAR,0.09922304116111111,0.13393970175998707
85,30.0%,0.2,NNAR,0.14167439628333334,0.11329843254158756
86,30.0%,0.25,NCAR,0.13470644674444443,0.11194644317359348
87,30.0%,0.25,NNAR,0.16793982701111113,0.11124245866446018
88,30.0%,0.3,NCAR,0.2155673296611111,0.10865533259406157
89,30.0%,0.3,NNAR,0.2757950972666667,0.12494106175328827
90,30.0%,0.35,NCAR,0.2759658670777778,0.11188149609285185
91,30.0%,0.35,NNAR,0.38296002068333335,0.1593741147632491
92,30.0%,0.4,NCAR,0.39265264569999997,0.1338703213861443
93,30.0%,0.4,NNAR,0.5115584514555555,0.22005622477654338
94,30.0%,0.45,NCAR,0.52796685685,0.20984078977342027
95,30.0%,0.45,NNAR,0.5963704515722221,0.24340714566573196
96,30.0%,0.5,NCAR,0.6353382664333334,0.26536045412721876
97,30.0%,0.5,NNAR,0.6154153912666666,0.26376800224541275
98,30.0%,0.55,NCAR,0.647181895611111,0.27115014475532606
99,30.0%,0.55,NNAR,0.5958248348222221,0.23857110203602408
100,30.0%,0.6,NCAR,0.6189345488944444,0.25834472944361253
101,30.0%,0.6,NNAR,0.5511484057333333,0.20864754796025578
102,30.0%,0.65,NCAR,0.5373200887611111,0.20248762069405443
103,30.0%,0.65,NNAR,0.45446914334444444,0.13338280521772836
104,40.0%,0.05,NCAR,0.07568742176111111,0.11533219703977052
105,40.0%,0.05,NNAR,0.07431218346666667,0.15106817609939163
106,40.0%,0.1,NCAR,0.08499278858333334,0.15526156343665515
107,40.0%,0.1,NNAR,0.09421711615555556,0.14588510894869727
108,40.0%,0.15,NCAR,0.12501392810555556,0.15764058609057477
109,40.0%,0.15,NNAR,0.12255433779444445,0.17909331510105722
110,40.0%,0.2,NCAR,0.14226776783888886,0.15226477347923573
111,40.0%,0.2,NNAR,0.17386213073888887,0.1255249227276397
112,40.0%,0.25,NCAR,0.1896989008611111,0.12358793516626246
113,40.0%,0.25,NNAR,0.22529967946666668,0.12233186879973391
114,40.0%,0.3,NCAR,0.2600650157888889,0.1186194265394259
115,40.0%,0.3,NNAR,0.32764196897222225,0.1260105850980144
116,40.0%,0.35,NCAR,0.3397887805833333,0.11591621122936434
117,40.0%,0.35,NNAR,0.4414503247611111,0.15464067606168239
118,40.0%,0.4,NCAR,0.45328510805,0.1254021545764126
119,40.0%,0.4,NNAR,0.5723714435222222,0.19730714190253001
120,40.0%,0.45,NCAR,0.5831261222277777,0.19430052628271882
121,40.0%,0.45,NNAR,0.657649569338889,0.22768780715850018
122,40.0%,0.5,NCAR,0.685178022,0.2397915355919336
123,40.0%,0.5,NNAR,0.690191384811111,0.24282257291404066
124,40.0%,0.55,NCAR,0.7094838427166668,0.24715270840580666
125,40.0%,0.55,NNAR,0.6987426514833334,0.24092090381083478
126,40.0%,0.6,NCAR,0.7075219883388889,0.24836820936889817
127,40.0%,0.6,NNAR,0.6841652844555556,0.23483101151000976
128,40.0%,0.65,NCAR,0.6913250828055556,0.2395053155632535
129,40.0%,0.65,NNAR,0.6580248833777779,0.21613872397950823
130,50.0%,0.05,NCAR,0.09873815000555557,0.14848966329300542
131,50.0%,0.05,NNAR,0.10283782378333332,0.16084650462386327
132,50.0%,0.1,NCAR,0.11459587104444445,0.1858128010493388
133,50.0%,0.1,NNAR,0.13139895793333334,0.169210654460003
134,50.0%,0.15,NCAR,0.15363121967222224,0.17957102750441137
135,50.0%,0.15,NNAR,0.1629094510222222,0.17588472354335133
136,50.0%,0.2,NCAR,0.1762749404611111,0.1844061752537287
137,50.0%,0.2,NNAR,0.2073830009,0.1515188348866965
138,50.0%,0.25,NCAR,0.2315625316888889,0.14266276697438537
139,50.0%,0.25,NNAR,0.2584938701888889,0.14618310673749954
140,50.0%,0.3,NCAR,0.3136441001333333,0.1309415091980906
141,50.0%,0.3,NNAR,0.3668155530722222,0.1398668127663245
142,50.0%,0.35,NCAR,0.38515611457222226,0.13074772498997472
143,50.0%,0.35,NNAR,0.49035987362777783,0.14815902180087076
144,50.0%,0.4,NCAR,0.5031685544166667,0.10769073411101832
145,50.0%,0.4,NNAR,0.6134575711555554,0.18459364812026346
146,50.0%,0.45,NCAR,0.6313461261444445,0.16917887550431043
147,50.0%,0.45,NNAR,0.7033412683833332,0.1983962053283099
148,50.0%,0.5,NCAR,0.7293946426666666,0.2040262518154534
149,50.0%,0.5,NNAR,0.7315482905777778,0.213743528604118
150,50.0%,0.55,NCAR,0.7514956552500001,0.21685309990078538
151,50.0%,0.55,NNAR,0.7512529831055557,0.21415330630514576
152,50.0%,0.6,NCAR,0.7551532338777777,0.2195368472278667
153,50.0%,0.6,NNAR,0.7512543968055556,0.21162847512761296
