,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
35,10.0%,0.6,NNAR,0.07861666666666665,0.07264933292682489
36,10.0%,0.65,NAR,0.11729999999999997,0.07365771256758966
37,10.0%,0.65,NCAR,0.07088333333333334,0.08886348337849985
38,10.0%,0.65,NNAR,0.11329999999999998,0.08491401330270766
39,100.0%,0.05,NAR,0.017849999999999994,0.021128975855200727
40,100.0%,0.05,NCAR,0.015566666666666666,0.02014761615630021
41,100.0%,0.05,NNAR,0.010433333333333334,0.016960772862459835
42,100.0%,0.1,NAR,0.03498333333333334,0.046262273922773704
43,100.0%,0.1,NCAR,0.031166666666666665,0.036737731551365956
44,100.0%,0.1,NNAR,0.03241666666666666,0.034692263704168114
45,100.0%,0.15,NAR,0.044683333333333325,0.05798163849270604
46,100.0%,0.15,NCAR,0.05036666666666666,0.058987130877805896
47,100.0%,0.15,NNAR,0.04804999999999999,0.04946879023077632
48,100.0%,0.2,NAR,0.06623333333333332,0.07200775022144507
49,100.0%,0.2,NCAR,0.06496666666666667,0.07519032555768904
50,100.0%,0.2,NNAR,0.06858333333333334,0.0708158227172885
51,100.0%,0.25,NAR,0.08089999999999999,0.08994992860015183
52,100.0%,0.25,NCAR,0.08034999999999999,0.09123549955642454
53,100.0%,0.25,NNAR,0.09105,0.09814120281337074
54,100.0%,0.3,NAR,0.10074999999999998,0.11202599375083476
55,100.0%,0.3,NCAR,0.09474999999999997,0.1019097597776142
56,100.0%,0.3,NNAR,0.10543333333333332,0.10511551390906966
57,100.0%,0.35,NAR,0.12318333333333334,0.115882705512003
58,100.0%,0.35,NCAR,0.11801666666666669,0.12094908328353066
59,100.0%,0.35,NNAR,0.12641666666666668,0.1244129721680105
60,100.0%,0.4,NAR,0.15865,0.11946923929585825
61,100.0%,0.4,NCAR,0.1467,0.13791661648781947
62,100.0%,0.4,NNAR,0.1637833333333333,0.11703496996796428
63,100.0%,0.45,NAR,0.20965,0.1308380250275257
64,100.0%,0.45,NCAR,0.18371666666666667,0.14115952600377063
65,100.0%,0.45,NNAR,0.21099999999999997,0.13186225833199505
66,100.0%,0.5,NAR,0.25393333333333334,0.10927060157158507
67,100.0%,0.5,NCAR,0.2475166666666667,0.16333704751817335
68,100.0%,0.5,NNAR,0.2643333333333333,0.13676990073523648
69,100.0%,0.55,NAR,0.35561666666666664,0.1252582630857716
70,100.0%,0.55,NCAR,0.28674999999999995,0.17899892843062035
71,100.0%,0.55,NNAR,0.3014666666666666,0.10994700395263583
72,100.0%,0.6,NAR,0.43693333333333323,0.09316778832627291
73,100.0%,0.6,NCAR,0.36119999999999997,0.19092924307729545
74,100.0%,0.6,NNAR,0.35208333333333336,0.12200905021076647
75,100.0%,0.65,NAR,0.52175,0.05315279698742303
76,100.0%,0.65,NCAR,0.4153,0.173832390537552
77,100.0%,0.65,NNAR,0.46225,0.08371480217648655
78,20.0%,0.05,NAR,0.004833333333333334,0.010476026271291114
79,20.0%,0.05,NCAR,0.0042,0.008213319711886002
80,20.0%,0.05,NNAR,0.0019166666666666668,0.015208937556883961
81,20.0%,0.1,NAR,0.006849999999999999,0.016326491060384883
82,20.0%,0.1,NCAR,0.008116666666666668,0.013099541537998463
83,20.0%,0.1,NNAR,0.00495,0.013035329976115177
84,20.0%,0.15,NAR,0.010533333333333334,0.01678409208525849
85,20.0%,0.15,NCAR,0.009416666666666667,0.013848990585233463
86,20.0%,0.15,NNAR,0.006766666666666668,0.010100984360817083
87,20.0%,0.2,NAR,0.010833333333333335,0.010819310110370616
88,20.0%,0.2,NCAR,0.012866666666666669,0.015174805192939978
89,20.0%,0.2,NNAR,0.013316666666666668,0.014360196025300542
90,20.0%,0.25,NAR,0.016316666666666667,0.01908848873795017
91,20.0%,0.25,NCAR,0.018466666666666666,0.02089956827360289
92,20.0%,0.25,NNAR,0.01631666666666667,0.018708970434330254
93,20.0%,0.3,NAR,0.022283333333333332,0.021904055416250227
94,20.0%,0.3,NCAR,0.0205,0.019359128649527733
95,20.0%,0.3,NNAR,0.023749999999999997,0.022793960936450117
96,20.0%,0.35,NAR,0.032766666666666666,0.022810589394089472
97,20.0%,0.35,NCAR,0.02883333333333334,0.025720089200967935
98,20.0%,0.35,NNAR,0.02860000000000001,0.021856270306805273
99,20.0%,0.4,NAR,0.04585000000000001,0.02433889678173035
100,20.0%,0.4,NCAR,0.043633333333333336,0.03272243070531845
101,20.0%,0.4,NNAR,0.05508333333333333,0.0330091636528021
102,20.0%,0.45,NAR,0.08586666666666669,0.07870152403262258
103,20.0%,0.45,NCAR,0.0617,0.052854158483183866
104,20.0%,0.45,NNAR,0.07706666666666667,0.05232256276896845
105,20.0%,0.5,NAR,0.10081666666666668,0.05054879570401689
106,20.0%,0.5,NCAR,0.1047,0.11197679870524904
107,20.0%,0.5,NNAR,0.09696666666666666,0.06386407080847481
108,20.0%,0.55,NAR,0.16616666666666666,0.1218472993866343
109,20.0%,0.55,NCAR,0.10421666666666665,0.1085216237258361
110,20.0%,0.55,NNAR,0.11935,0.04706234859388569
111,20.0%,0.6,NAR,0.21200000000000005,0.11308708880845954
112,20.0%,0.6,NCAR,0.13938333333333333,0.11649594364207483
113,20.0%,0.6,NNAR,0.14283333333333337,0.06442468649427063
114,20.0%,0.65,NAR,0.21569999999999995,0.10808805478038216
115,20.0%,0.65,NCAR,0.14521666666666666,0.07241769208167836
116,20.0%,0.65,NNAR,0.18350000000000002,0.10340687964840971
117,30.0%,0.05,NAR,0.003083333333333334,0.013754048515790276
118,30.0%,0.05,NCAR,0.005983333333333334,0.010372778809455308
119,30.0%,0.05,NNAR,0.0028833333333333332,0.011583790200202128
120,30.0%,0.1,NAR,0.0123,0.016496917162369125
121,30.0%,0.1,NCAR,0.010266666666666669,0.014533393968027053
122,30.0%,0.1,NNAR,0.007883333333333334,0.00982842757035667
123,30.0%,0.15,NAR,0.013166666666666665,0.021617893822787948
124,30.0%,0.15,NCAR,0.014733333333333333,0.017293477609089846
125,30.0%,0.15,NNAR,0.010116666666666668,0.01399426196039262
126,30.0%,0.2,NAR,0.01641666666666667,0.01529090519260372
127,30.0%,0.2,NCAR,0.018699999999999998,0.022970971186290302
128,30.0%,0.2,NNAR,0.020566666666666664,0.02280113931414368
129,30.0%,0.25,NAR,0.022883333333333342,0.026394122691305318
130,30.0%,0.25,NCAR,0.025116666666666662,0.029005553372359258
131,30.0%,0.25,NNAR,0.028199999999999996,0.03197860276001374
132,30.0%,0.3,NAR,0.03401666666666667,0.03321416485667579
133,30.0%,0.3,NCAR,0.03305,0.0300460422547199
134,30.0%,0.3,NNAR,0.031633333333333326,0.025785900094395794
135,30.0%,0.35,NAR,0.04744999999999999,0.03276992681481416
136,30.0%,0.35,NCAR,0.03916666666666667,0.03355703670832212
137,30.0%,0.35,NNAR,0.04105,0.02911728660624724
138,30.0%,0.4,NAR,0.0642,0.03148634077139504
139,30.0%,0.4,NCAR,0.05725000000000001,0.04104008763518237
140,30.0%,0.4,NNAR,0.07429999999999999,0.04047383147766911
141,30.0%,0.45,NAR,0.10573333333333332,0.07844081156859756
142,30.0%,0.45,NCAR,0.07758333333333331,0.05704838891818874
143,30.0%,0.45,NNAR,0.10565,0.06568461085709708
144,30.0%,0.5,NAR,0.13263333333333335,0.05186187446466339
145,30.0%,0.5,NCAR,0.13243333333333335,0.11500335327444942
146,30.0%,0.5,NNAR,0.13588333333333333,0.07434201987799517
147,30.0%,0.55,NAR,0.20848333333333327,0.1288774801315477
148,30.0%,0.55,NCAR,0.15625,0.13256889880750494
149,30.0%,0.55,NNAR,0.16804999999999998,0.05654527481097139
150,30.0%,0.6,NAR,0.2701833333333334,0.1268446975590646
151,30.0%,0.6,NCAR,0.20676666666666668,0.14891178442363076
152,30.0%,0.6,NNAR,0.1977666666666667,0.07408973279576007
153,30.0%,0.65,NAR,0.30569999999999997,0.13342514367808356
154,30.0%,0.65,NCAR,0.24020000000000002,0.12387268213496608
155,30.0%,0.65,NNAR,0.26658333333333334,0.09627448934609092
156,40.0%,0.05,NAR,0.008600000000000002,0.014539126758390676
157,40.0%,0.05,NCAR,0.00545,0.009121167121326768
158,40.0%,0.05,NNAR,0.004183333333333333,0.015059928179829051
159,40.0%,0.1,NAR,0.0137,0.02406084241939659
160,40.0%,0.1,NCAR,0.012933333333333335,0.018106358824596883
161,40.0%,0.1,NNAR,0.011366666666666667,0.013537262325314074
162,40.0%,0.15,NAR,0.014966666666666666,0.023617619567242343
163,40.0%,0.15,NCAR,0.02011666666666666,0.022999131667766598
164,40.0%,0.15,NNAR,0.01735,0.020850101298025656
165,40.0%,0.2,NAR,0.021450000000000004,0.02442806116771843
166,40.0%,0.2,NCAR,0.02511666666666667,0.027882970743291765
167,40.0%,0.2,NNAR,0.029083333333333333,0.031055313092357765
168,40.0%,0.25,NAR,0.0326,0.03603791107268509
169,40.0%,0.25,NCAR,0.0364,0.039659846800963086
170,40.0%,0.25,NNAR,0.03651666666666666,0.040086003089334826
171,40.0%,0.3,NAR,0.04433333333333333,0.04332163856337952
172,40.0%,0.3,NCAR,0.03951666666666667,0.03853625327003073
